plant_species;match_type;multiple_matches;match_similarity;match_edit_distance;wcvp_id;wcvp_name;wcvp_authors;wcvp_rank;wcvp_status;wcvp_homotypic;wcvp_ipni_id;wcvp_accepted_id
Hierochloe odorata;Exact (without author);FALSE;1;0;418883;Hierochloe odorata;(L.) P.Beauv.;Species;Synonym;NA;404911-1;394017
Hordelymus europaeus;Exact (without author);FALSE;1;0;419180;Hordelymus europaeus;(L.) Jess. ex Harz;Species;Accepted;NA;405133-1;419180
Hordeum marinum;Exact (without author);FALSE;1;0;419395;Hordeum marinum;Huds.;Species;Accepted;NA;30066468-2;419395
Hordeum vulgare subsp. spontaneum;Exact (without author);FALSE;1;0;419574;Hordeum vulgare subsp. spontaneum;(K.Koch) Asch. & Graebn.;Subspecies;Accepted;NA;77259495-1;419574
Lagurus ovatus;Exact (without author);FALSE;1;0;421920;Lagurus ovatus;L.;Species;Accepted;NA;406799-1;421920
Lamarckia aurea;Exact (without author);FALSE;1;0;421929;Lamarckia aurea;(L.) Moench;Species;Accepted;NA;406803-1;421929
Leersia;Exact (without author);FALSE;1;0;422059;Leersia;Sw.;Genus;Accepted;NA;330006-2;422059
Lolium remotum;Exact (without author);FALSE;1;0;422871;Lolium remotum;Schrank;Species;Accepted;NA;407500-1;422871
Macrochloa tenacissima;Exact (without author);FALSE;1;0;423204;Macrochloa tenacissima;(L.) Kunth;Species;Accepted;NA;407732-1;423204
Melica persica;Exact (without author);FALSE;1;0;423736;Melica persica;Kunth;Species;Accepted;NA;408103-1;423736
Mibora minima;Exact (without author);FALSE;1;0;424200;Mibora minima;(L.) Desv.;Species;Accepted;NA;1122217-2;424200
Micropyrum tenellum;Exact (without author);FALSE;1;0;424296;Micropyrum tenellum;(L.) Link;Species;Synonym;NA;408491-1;415518
Muhlenbergia;Exact (without author);FALSE;1;0;424928;Muhlenbergia;Schreb.;Genus;Accepted;NA;30000924-2;424928
Oplismenus;Exact (without author);FALSE;1;0;426282;Oplismenus;P.Beauv.;Genus;Accepted;NA;329520-2;426282
Panicum virgatum;Exact (without author);TRUE;1;0;430831;Panicum virgatum;L.;Species;Accepted;NA;413537-1;430831
Panicum virgatum;Exact (without author);TRUE;1;0;430832;Panicum virgatum;Roxb. ex Steud.;Species;Invalid;NA;413538-1;430558
Parapholis;Exact (without author);FALSE;1;0;431050;Parapholis;C.E.Hubb.;Genus;Accepted;NA;18670-1;431050
Pennisetum villosum;Exact (without author);FALSE;1;0;433030;Pennisetum villosum;Fresen.;Species;Synonym;TRUE;187113-2;403956
Phleum alpinum;Exact (without author);FALSE;1;0;433718;Phleum alpinum;L.;Species;Accepted;NA;415775-1;433718
Phleum hirsutum;Exact (without author);FALSE;1;0;433801;Phleum hirsutum;Honck.;Species;Accepted;NA;415835-1;433801
Phleum paniculatum;Exact (without author);FALSE;1;0;433830;Phleum paniculatum;Huds.;Species;Accepted;NA;415858-1;433830
Pilgerochloa;Exact (without author);FALSE;1;0;434400;Pilgerochloa;Eig;Genus;Synonym;NA;18733-1;449597
Piptatherum paradoxum;Exact (without author);FALSE;1;0;434477;Piptatherum paradoxum;(L.) P.Beauv.;Species;Synonym;TRUE;1100265-2;523782
Poa cenisia;Exact (without author);FALSE;1;0;435540;Poa cenisia;All.;Species;Accepted;NA;30482705-2;435540
Poa chaixii;Exact (without author);FALSE;1;0;435556;Poa chaixii;Vill.;Species;Accepted;NA;416729-1;435556
Poa glauca;Exact (without author);TRUE;1;0;435996;Poa glauca;Vahl;Species;Accepted;NA;204239-2;435996
Poa glauca;Exact (without author);TRUE;1;0;435997;Poa glauca;Poir.;Species;Illegitimate;NA;417116-1;437274
Poa minor;Exact (without author);TRUE;1;0;436537;Poa minor;Gaudin;Species;Accepted;NA;417509-1;436537
Poa minor;Exact (without author);TRUE;1;0;436538;Poa minor;Salzm. ex Trin.;Species;Invalid;NA;417508-1;435540
Poa molinerii;Exact (without author);TRUE;1;0;436552;Poa molinerii;Balb.;Species;Accepted;NA;417518-1;436552
Poa molinerii;Exact (without author);TRUE;1;0;436553;Poa molinerii;Schleich. ex Gaudin;Species;Invalid;NA;417517-1;436809
Poa pumila;Exact (without author);TRUE;1;0;437044;Poa pumila;Host;Species;Accepted;NA;417849-1;437044
Poa pumila;Exact (without author);TRUE;1;0;437045;Poa pumila;Phil.;Species;Illegitimate;NA;204442-2;438699
Poa remota;Exact (without author);TRUE;1;0;437092;Poa remota;Forselles;Species;Accepted;NA;417898-1;437092
Poa remota;Exact (without author);TRUE;1;0;437093;Poa remota;Kunth;Species;Illegitimate;NA;417899-1;523516
