"taxon_name","n","native_to_europe","wcvp_accepted_id.x","family","genus","LifeCycle","Woodiness","woodiness","lifecycle","tiles","area_km2","wcvp_status","wcvp_accepted_id.y","taxon_name.y","min_fr","rel_status","mean_longitude","mean_latitude","distance_to_europe_center"
"Dracocephalum ibericum",4,FALSE,63804,"Lamiaceae","Dracocephalum","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,1954,"Genus in Europe",44.4884368320766,36.9764603248121,3240.29828373128
"Dracocephalum moldavica",7,FALSE,63836,"Lamiaceae","Dracocephalum",NA,"Non-Woody","Non-Woody","Perennial",143,244773.536305411,"Accepted",63836,"Dracocephalum moldavica",1854,"Genus in Europe",95.2892270838495,46.8249301226386,5219.89473418245
"Drimia maura",1,FALSE,309429,"Asparagaceae","Drimia",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-6.27937770867659,31.9475329847619,3402.66395566666
"Dryopteris crispifolia",1,FALSE,3150195,"Polypodiaceae","Dryopteris",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-27.0828576857216,38.2783601302234,3764.44818456863
"Dryopteris intermedia subsp. azorica",3,FALSE,3150717,"Polypodiaceae","Dryopteris",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-27.0828576857216,38.2783601302234,3764.44818456863
"Dryopteris oligodonta",2,FALSE,3150799,"Polypodiaceae","Dryopteris",NA,NA,"Non-Woody","Perennial",2,7359.72734164491,"Accepted",3150799,"Dryopteris oligodonta",NA,"Genus in Europe",-19.8902288892646,22.1664745210241,4934.89837146963
"Dysphania ambrosioides",13,FALSE,2780223,"Amaranthaceae","Dysphania","Annual","Non-Woody","Non-Woody","Annual",514,1125983.55593256,"Accepted",2780223,"Dysphania ambrosioides",1791,"Genus in Europe",-75.7843037468046,4.27376869393797,9646.84500951793
"Echinochloa muricata",1,FALSE,410310,"Poaceae","Echinochloa","Annual","Non-Woody","Non-Woody","Annual",182,348971.311122001,"Accepted",410310,"Echinochloa muricata",1915,"Genus in Europe",-90.2801772802282,40.8193139978863,6998.97012234949
"Echinophora chrysantha",1,FALSE,2783209,"Apiaceae","Echinophora",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",35.441648478726,39.0283978298971,2653.64917378203
"Echinophora tournefortii",5,FALSE,2783225,"Apiaceae","Echinophora","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",44.8302533151529,35.8943592319219,3358.94359237117
"Echinophora trichophylla",1,FALSE,2783226,"Apiaceae","Echinophora","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",35.441648478726,39.0283978298971,2653.64917378203
"Echinops acantholepis",1,FALSE,3040264,"Asteraceae","Echinops","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe",54.8960781758038,36.3797236622135,3814.99330810442
"Echinops bovei",3,FALSE,3040304,"Asteraceae","Echinops",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",5.9763316307966,30.4254321999424,3248.28562110251
"Echinops gaillardotii",1,FALSE,3039894,"Asteraceae","Echinops",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",37.382505644058,33.1529683470544,3318.68435341417
"Echinops melitenensis",1,FALSE,3040481,"Asteraceae","Echinops",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",35.441648478726,39.0283978298971,2653.64917378203
"Echinops ossicus",1,FALSE,3039902,"Asteraceae","Echinops",NA,"Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",41.2733422374216,41.4835691037231,2669.44073920453
"Echinops polyceras",1,FALSE,3040519,"Asteraceae","Echinops","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",40.7603659968655,30.902240646634,3675.87900278103
"Echinops pungens",4,FALSE,3040535,"Asteraceae","Echinops","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",45.0721531383705,37.6106933937788,3207.99587331676
"Echium aculeatum",7,FALSE,2783969,"Boraginaceae","Echium","Perennial","Woody","Woody","Perennial",1,3572.22449349669,"Accepted",2783969,"Echium aculeatum",NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Echium angustifolium subsp. sericeum",1,FALSE,2783994,"Boraginaceae","Echium",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",26.9534036248635,27.9294929214084,3572.69881025897
"Echium bonnetii",1,FALSE,2784020,"Boraginaceae","Echium","Annual","Non-Woody","Non-Woody","Annual",6,3127.75267076479,"Accepted",2784020,"Echium bonnetii",NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Echium callithyrsum",1,FALSE,2784034,"Boraginaceae","Echium","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Echium candicans",5,FALSE,2784037,"Boraginaceae","Echium","Perennial","Woody","Woody","Perennial",56,92682.6330055978,"Accepted",2784037,"Echium candicans",NA,"Genus in Europe",-16.9468844916308,32.7675103174201,3756.68423610482
"Echium decaisnei",2,FALSE,2784073,"Boraginaceae","Echium","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Echium decaisnei subsp. purpuriense",1,FALSE,2784074,"Boraginaceae","Echium",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Echium giganteum",3,FALSE,2784118,"Boraginaceae","Echium","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Echium glomeratum",6,FALSE,2784128,"Boraginaceae","Echium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",34.5888968805811,33.3658883813559,3198.4004994009
"Echium handiense",1,FALSE,2784137,"Boraginaceae","Echium","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Echium hierrense",1,FALSE,2784138,"Boraginaceae","Echium","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Echium hypertropicum",1,FALSE,2784155,"Boraginaceae","Echium","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-24.104989115863,15.9928956811446,5741.11035225719
"Echium nervosum",2,FALSE,2784241,"Boraginaceae","Echium","Perennial","Woody","Woody","Perennial",1,2434.04804842062,"Accepted",2784241,"Echium nervosum",NA,"Genus in Europe",-16.9468844916308,32.7675103174201,3756.68423610482
"Echium onosmifolium",1,FALSE,2784248,"Boraginaceae","Echium","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Echium pitardii",1,FALSE,2784280,"Boraginaceae","Echium","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Echium rauwolfii",1,FALSE,2784319,"Boraginaceae","Echium","Annual","Non-Woody","Non-Woody","Annual",1,3186.8968903514,"Accepted",2784319,"Echium rauwolfii",NA,"Genus in Europe",30.6341556410329,25.8002630477194,3884.20592058284
"Echium strictum",3,FALSE,2784370,"Boraginaceae","Echium","Perennial","Woody","Woody","Perennial",1,3572.22449349669,"Accepted",2784370,"Echium strictum",NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Echium virescens",2,FALSE,2784416,"Boraginaceae","Echium","Perennial","Woody","Woody","Perennial",7,15230.5575742708,"Accepted",2784416,"Echium virescens",NA,"Genus in Europe",-0.764987164683178,32.9547024846355,3123.86447620925
"Echium wildpretii",1,FALSE,2784435,"Boraginaceae","Echium","Perennial","Non-Woody","Non-Woody","Perennial",1,3572.22449349669,"Accepted",2784435,"Echium wildpretii",NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Elaeagnus commutata",2,FALSE,2785017,"Elaeagnaceae","Elaeagnus","Perennial","Woody","Woody","Perennial",347,467405.548675068,"Accepted",2785017,"Elaeagnus commutata",1882,"Genus in Europe",-108.499394540783,50.7005662186492,6816.42196183721
"Elaeagnus difficilis",1,FALSE,2785048,"Elaeagnaceae","Elaeagnus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",109.583510487924,28.4712839720955,7590.7314821623
"Elaeagnus glabra",1,FALSE,2785071,"Elaeagnaceae","Elaeagnus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",119.258000409529,29.4031142322531,8013.84516426836
"Elaeagnus macrophylla",1,FALSE,2785146,"Elaeagnaceae","Elaeagnus","Perennial","Woody","Woody","Perennial",25,34021.7393813032,"Accepted",2785146,"Elaeagnus macrophylla",1984,"Genus in Europe",122.878666570086,31.9844622312571,7950.7618335144
"Elaeagnus multiflora",3,FALSE,2785159,"Elaeagnaceae","Elaeagnus","Perennial","Woody","Woody","Perennial",31,50570.0727701515,"Accepted",2785159,"Elaeagnus multiflora",2005,"Genus in Europe",124.209665825306,36.3572858198379,7600.61768113728
"Elaeagnus oldhamii",1,FALSE,2785180,"Elaeagnaceae","Elaeagnus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",117.724877716693,26.0283399555673,8253.03240927264
"Elaeagnus pungens",5,FALSE,2785200,"Elaeagnaceae","Elaeagnus","Perennial","Woody","Woody","Perennial",170,315845.443643526,"Accepted",2785200,"Elaeagnus pungens",1945,"Genus in Europe",111.175993180694,34.4008222411493,7131.86375019481
"Elaeagnus umbellata",7,FALSE,2785255,"Elaeagnaceae","Elaeagnus","Perennial","Woody","Woody","Perennial",122,197954.345534408,"Accepted",2785255,"Elaeagnus umbellata",1956,"Genus in Europe",100.395699141228,33.9914122568683,6586.74269983874
"Elaeagnus × submacrophylla",5,FALSE,2785228,"Elaeagnaceae","Elaeagnus","Perennial","Woody","Woody","Perennial",78,148786.954992268,"Accepted",2785228,"Elaeagnus × submacrophylla",1988,"Genus in Europe",132.838731139787,38.2590094247754,7805.09508234546
"Eleusine coracana",1,FALSE,410607,"Poaceae","Eleusine","Annual","Non-Woody","Non-Woody","Annual",14,23899.2468205116,"Accepted",410607,"Eleusine coracana",1857,"Genus in Europe",24.1778172702564,-0.412223303910044,6637.25559332832
"Elymus canadensis",1,FALSE,410973,"Poaceae","Elymus","Perennial","Non-Woody","Non-Woody","Perennial",18,28914.9017637013,"Accepted",410973,"Elymus canadensis",1895,"Genus in Europe",-92.9807651778549,42.4815033868756,6970.5595479391
"Elymus hystrix",1,FALSE,469244,"Poaceae","Elymus","Perennial","Non-Woody","Non-Woody","Perennial",2,6099.7296924245,"Accepted",469244,"Elymus hystrix",1891,"Genus in Europe",-83.6683384888162,41.0837740101257,6654.90036163588
"Elymus smithii",1,FALSE,411583,"Poaceae","Elymus","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,1945,"Genus in Europe",-99.594044822165,43.0110364872628,7211.01876978342
"Elymus violaceus",2,FALSE,411703,"Poaceae","Elymus","Perennial","Non-Woody","Non-Woody","Perennial",30,54249.5048864159,"Accepted",411703,"Elymus violaceus",1925,"Genus in Europe",-64.5034742520885,45.6738638875955,5270.0849323903
"Ephedra intermedia",1,FALSE,332952,"Ephedraceae","Ephedra","Perennial","Woody","Woody","Perennial",2,786.148479679321,"Accepted",332952,"Ephedra intermedia",NA,"Genus in Europe",74.523181794584,41.361057943037,4494.3838426318
"Ephedra strobilacea",1,FALSE,333044,"Ephedraceae","Ephedra","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",62.7507790794689,37.2450066660077,4166.40317397119
"Epilobium brachycarpum",1,FALSE,2790195,"Onagraceae","Epilobium","Annual","Non-Woody","Non-Woody","Annual",257,589939.120914883,"Accepted",2790195,"Epilobium brachycarpum",1952,"Genus in Europe",-106.891152861485,43.0991182303685,7497.84096873764
"Epilobium brunnescens",1,FALSE,2790214,"Onagraceae","Epilobium","Perennial","Non-Woody","Non-Woody","Perennial",183,244390.658527663,"Accepted",2790214,"Epilobium brunnescens",1869,"Genus in Europe",163.458867611112,-45.0435148369394,17387.0146671441
"Epilobium canum",1,FALSE,2790233,"Onagraceae","Epilobium","Perennial",NA,"Non-Woody","Perennial",4,9107.68073431006,"Accepted",2790233,"Epilobium canum",NA,"Genus in Europe",-112.304141261494,37.0969965378731,8300.27404965058
"Epilobium clavatum",1,FALSE,2790286,"Onagraceae","Epilobium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-119.51673715631,49.1972619474148,7319.44654025482
"Epilobium hirtigerum",1,FALSE,2790528,"Onagraceae","Epilobium","Perennial","Non-Woody","Non-Woody","Perennial",1,2160.05520341135,"Accepted",2790528,"Epilobium hirtigerum",NA,"Genus in Europe",96.172825048327,-29.3722683141485,12276.9273564588
"Epilobium laxum",1,FALSE,2790631,"Onagraceae","Epilobium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",76.6715153354858,37.217226309716,4960.7514684562
"Epilobium leptophyllum",1,FALSE,2790644,"Onagraceae","Epilobium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-92.3191793194681,44.0009210228788,6800.46730269646
"Epilobium minutiflorum",1,FALSE,2790713,"Onagraceae","Epilobium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",74.3309748761335,38.9584756883637,4680.22874066504
"Epilobium nummulariifolium",1,FALSE,2790782,"Onagraceae","Epilobium",NA,NA,"Non-Woody","Perennial",2,1655.89767302571,"Accepted",2790782,"Epilobium nummulariifolium",NA,"Genus in Europe",56.5564245150979,-42.2230909083387,11853.9526264409
"Epilobium pallidiflorum",1,FALSE,2790834,"Onagraceae","Epilobium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",106.20986990437,-38.282364308768,13618.8859327444
"Epilobium pedunculare",1,FALSE,2790884,"Onagraceae","Epilobium","Perennial",NA,"Non-Woody","Perennial",32,54203.4248629699,"Accepted",2790884,"Epilobium pedunculare",1931,"Genus in Europe",99.2945138098098,-46.4598361962528,13973.880690374
"Eragrostis multicaulis",1,FALSE,412876,"Poaceae","Eragrostis","Annual","Non-Woody","Non-Woody","Annual",295,520412.401801795,"Accepted",412876,"Eragrostis multicaulis",1825,"Genus in Europe",114.892677386207,28.2293985130901,7897.38092640831
"Eragrostis pectinacea",1,FALSE,412967,"Poaceae","Eragrostis","Annual","Non-Woody","Non-Woody","Annual",135,335550.241599418,"Accepted",412967,"Eragrostis pectinacea",1877,"Genus in Europe",-87.0184977151003,31.0299179478057,7746.45294875648
"Eragrostis tef",1,FALSE,413262,"Poaceae","Eragrostis","Annual","Non-Woody","Non-Woody","Annual",103,185258.116424331,"Accepted",413262,"Eragrostis tef",1913,"Genus in Europe",40.4536267820763,8.60334483449074,5992.42238086353
"Eranthis cilicica",1,FALSE,2791910,"Ranunculaceae","Eranthis","Perennial","Non-Woody","Non-Woody","Perennial",53,74761.8948356981,"Accepted",2791910,"Eranthis cilicica",NA,"Genus in Europe",39.5996395326119,36.0732451693528,3112.42505491097
"Eremogone capillaris",1,FALSE,2792056,"Caryophyllaceae","Eremogone","Perennial",NA,NA,"Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",23.9354456178923,52.2889621327786,933.635063474518
"Eremogone graminea",5,FALSE,2792087,"Caryophyllaceae","Eremogone","Perennial",NA,NA,"Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",45.2453022329777,38.2912121406784,3152.79099502034
"Erica azorica",7,FALSE,2792702,"Ericaceae","Erica",NA,NA,"Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-27.0828576857216,38.2783601302234,3764.44818456863
"Erica gracilis",3,FALSE,2793417,"Ericaceae","Erica",NA,NA,"Woody","Perennial",3,4002.24741671524,"Accepted",2793417,"Erica gracilis",NA,"Genus in Europe",22.5448099108385,-30.9647161334435,9994.25705933138
"Erica subdivaricata",1,FALSE,2794527,"Ericaceae","Erica","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",22.5448099108385,-30.9647161334435,9994.25705933138
"Erigeron annuus",26,FALSE,2926468,"Asteraceae","Erigeron","Annual","Non-Woody","Non-Woody","Annual",2036,3880893.84321781,"Accepted",2926468,"Erigeron annuus",1600,"Genus in Europe",-82.5037723380238,40.0803690706522,6686.65823457931
"Erigeron bonariensis",8,FALSE,3104918,"Asteraceae","Erigeron","Annual","Non-Woody","Non-Woody","Annual",600,1269520.66521416,"Accepted",3104918,"Erigeron bonariensis",1661,"Genus in Europe",-71.3980832859653,-2.20703664837367,10008.6307996571
"Erigeron canadensis",50,FALSE,2926303,"Asteraceae","Erigeron","Annual","Non-Woody","Non-Woody","Annual",3034,5426043.5069796,"Accepted",2926303,"Erigeron canadensis",1650,"Genus in Europe",-85.1515467074773,28.5300991776261,7882.92272564623
"Erigeron floribundus",2,FALSE,3105484,"Asteraceae","Erigeron","Annual","Non-Woody","Non-Woody","Annual",289,579906.464251238,"Accepted",3105484,"Erigeron floribundus",1804,"Genus in Europe",-73.278240942558,-6.60638615736903,10532.9676012675
"Erigeron karvinskianus",2,FALSE,3105380,"Asteraceae","Erigeron","Annual","Non-Woody","Non-Woody","Annual",790,1559249.5056837,"Accepted",3105380,"Erigeron karvinskianus",1860,"Genus in Europe",-88.2311185672146,14.6415344816764,9362.49562824188
"Erigeron philadelphicus",1,FALSE,2926485,"Asteraceae","Erigeron","Perennial","Non-Woody","Non-Woody","Perennial",110,221031.974300127,"Accepted",2926485,"Erigeron philadelphicus",1869,"Genus in Europe",-91.1033426849909,42.4084614309427,6891.23886944901
"Erigeron speciosus",5,FALSE,3106098,"Asteraceae","Erigeron","Perennial","Non-Woody","Non-Woody","Perennial",246,448821.55500853,"Accepted",3106098,"Erigeron speciosus",1869,"Genus in Europe",-112.543488223883,42.5904382376838,7758.52080327373
"Erigeron strigosus var. septentrionalis",2,FALSE,3106171,"Asteraceae","Erigeron",NA,NA,"Non-Woody","Perennial",580,1110288.88860445,"Accepted",3106171,"Erigeron strigosus var. septentrionalis",NA,"Genus in Europe",-89.1272950435967,44.940630559628,6569.36655476435
"Erigeron sumatrensis",8,FALSE,3106205,"Asteraceae","Erigeron","Annual","Non-Woody","Non-Woody","Annual",797,1644889.21173553,"Accepted",3106205,"Erigeron sumatrensis",1904,"Genus in Europe",-69.7902858670232,-4.12488287111197,10098.4171007598
"Erodium trichomanefolium",1,FALSE,2798472,"Geraniaceae","Erodium",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",36.9128105127592,37.0053081386959,2912.1626621514
"Erucastrum abyssinicum",2,FALSE,2798809,"Brassicaceae","Erucastrum","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,1947,"Genus in Europe",42.0128265225691,13.2920333817194,5545.69859059834
"Erucastrum canariense",3,FALSE,2798819,"Brassicaceae","Erucastrum",NA,"Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Erucastrum cardaminoides",1,FALSE,2798821,"Brassicaceae","Erucastrum",NA,"Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Erucastrum leucanthum",1,FALSE,2798859,"Brassicaceae","Erucastrum",NA,"Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe",-1.82512598571423,30.1860978507836,3446.86232975484
"Eryngium billardierei",4,FALSE,2799136,"Apiaceae","Eryngium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",54.2511721755885,35.2111468515286,3886.90702871555
"Eryngium caeruleum",1,FALSE,2799162,"Apiaceae","Eryngium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",60.4140140959211,38.6229909397327,3917.94945084192
"Eryngium falcatum",3,FALSE,2799269,"Apiaceae","Eryngium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",34.2478189767545,35.7856485058583,2937.5392429434
"Eryngium giganteum",1,FALSE,2799295,"Apiaceae","Eryngium","Perennial","Non-Woody","Non-Woody","Perennial",254,412830.869300046,"Accepted",2799295,"Eryngium giganteum",1600,"Genus in Europe",41.2733422374216,41.4835691037231,2669.44073920453
"Eryngium kotschyi",2,FALSE,2799379,"Apiaceae","Eryngium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",35.441648478726,39.0283978298971,2653.64917378203
"Erysimum bicolor",4,FALSE,2799819,"Brassicaceae","Erysimum","Perennial","Woody","Woody","Perennial",23,32218.8121712789,"Accepted",2799819,"Erysimum bicolor",NA,"Genus in Europe",-16.9468844916308,32.7675103174201,3756.68423610482
"Erysimum grandiflorum",4,FALSE,2800072,"Brassicaceae","Erysimum","Perennial",NA,"Non-Woody","Perennial",8,12571.618704196,"Accepted",2800072,"Erysimum grandiflorum",NA,"Genus in Europe",1.96988692737399,31.5111674312083,3208.47115900028
"Erysimum kotschyanum",1,FALSE,2800168,"Brassicaceae","Erysimum","Perennial",NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",35.441648478726,39.0283978298971,2653.64917378203
"Erysimum perofskianum",3,FALSE,2800361,"Brassicaceae","Erysimum","Perennial","Non-Woody","Non-Woody","Perennial",10,18172.7172580538,"Accepted",2800361,"Erysimum perofskianum",1877,"Genus in Europe",117.285847443715,48.5941684538375,6159.77210087056
"Erysimum pulchellum",3,FALSE,2800393,"Brassicaceae","Erysimum",NA,"Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",45.0721531383705,37.6106933937788,3207.99587331676
"Erysimum scabrum",4,FALSE,2800452,"Brassicaceae","Erysimum","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",41.1063794796054,34.5236637894882,3327.97269067545
"Erysimum scoparium",5,FALSE,2800457,"Brassicaceae","Erysimum","Perennial","Non-Woody","Non-Woody","Perennial",2,7257.16026052248,"Accepted",2800457,"Erysimum scoparium",NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Erysimum × marshallii",2,FALSE,2800242,"Brassicaceae","Erysimum",NA,"Non-Woody","Non-Woody","Perennial",15,25700.7640147908,"Accepted",2800242,"Erysimum × marshallii",1885,"Genus in Europe",-0.849690649994849,51.2848947694039,1320.49328483624
"Erythronium oregonum",1,FALSE,305798,"Liliaceae","Erythronium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-121.394486235375,45.9807878559666,7703.77477387786
"Euonymus alatus",6,FALSE,2803149,"Celastraceae","Euonymus","Perennial","Woody","Woody","Perennial",107,193318.71942933,"Accepted",2803149,"Euonymus alatus",1986,"Genus in Europe",124.043458396043,45.1335313437402,6773.00045787425
"Euonymus atropurpureus",1,FALSE,2803182,"Celastraceae","Euonymus","Perennial","Woody","Woody","Perennial",1,1596.81255916017,"Accepted",2803182,"Euonymus atropurpureus",NA,"Genus in Europe",-85.5876563592011,39.5267169981817,6890.46680290428
"Euonymus fortunei",14,FALSE,2803326,"Celastraceae","Euonymus","Perennial",NA,"Woody","Perennial",607,1069024.03405494,"Accepted",2803326,"Euonymus fortunei",1962,"Genus in Europe",111.379255965596,21.6022501377287,8328.33791948841
"Euonymus grandiflorus",1,FALSE,2803354,"Celastraceae","Euonymus","Perennial","Woody","Woody","Perennial",1,3572.22449349669,"Accepted",2803354,"Euonymus grandiflorus",NA,"Genus in Europe",97.5247913185111,27.5035532591805,7008.20050023799
"Euonymus hamiltonianus",1,FALSE,2803361,"Celastraceae","Euonymus","Perennial","Woody","Woody","Perennial",3,4973.61123401467,"Accepted",2803361,"Euonymus hamiltonianus",1865,"Genus in Europe",103.426089520646,32.2004757657548,6914.16356207391
"Euonymus japonicus",37,FALSE,2803399,"Celastraceae","Euonymus","Perennial","Woody","Woody","Perennial",355,616375.5910046,"Accepted",2803399,"Euonymus japonicus",1804,"Genus in Europe",130.797168530529,34.1011817698195,8119.41278803994
"Euonymus latifolius subsp. cauconis",1,FALSE,3232666,"Celastraceae","Euonymus",NA,NA,"Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",35.441648478726,39.0283978298971,2653.64917378203
"Euonymus maackii",1,FALSE,2803470,"Celastraceae","Euonymus","Perennial","Woody","Woody","Perennial",3,6079.24187224166,"Accepted",2803470,"Euonymus maackii",NA,"Genus in Europe",119.679390837299,42.4748676774341,6818.90841876741
"Euonymus yakushimensis",1,FALSE,2803710,"Celastraceae","Euonymus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",138.214120033694,37.9061166876332,8060.8168110573
"Eupatorium chinense",1,FALSE,3130475,"Asteraceae","Eupatorium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",116.407384410557,28.8477015324212,7918.98902860945
"Eupatorium perfoliatum",1,FALSE,2926636,"Asteraceae","Eupatorium","Perennial","Non-Woody","Non-Woody","Perennial",5,8731.31771930009,"Accepted",2926636,"Eupatorium perfoliatum",1946,"Genus in Europe",-83.3957335439313,40.6321498382097,6681.85361591439
"Euphorbia acalyphoides",1,FALSE,78191,"Euphorbiaceae","Euphorbia","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe",36.185253036926,8.47856733899345,5886.04940907419
"Euphorbia altissima",2,FALSE,78279,"Euphorbiaceae","Euphorbia","Perennial","Non-Woody","Non-Woody","Perennial",1,3572.22449349669,"Accepted",78279,"Euphorbia altissima",NA,"Genus in Europe",41.0043118181108,34.9865761948233,3278.04340820156
"Euphorbia anachoreta",2,FALSE,78331,"Euphorbiaceae","Euphorbia","Perennial",NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-15.862686475118,30.1429605184952,3964.3138260246
"Euphorbia aphylla",3,FALSE,78388,"Euphorbiaceae","Euphorbia","Perennial","Woody","Woody","Perennial",1,3684.93576702579,"Accepted",78388,"Euphorbia aphylla",NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Euphorbia aserbajdzhanica",2,FALSE,78467,"Euphorbiaceae","Euphorbia",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",58.8070369479502,35.2763676097996,4122.57050941364
"Euphorbia atropurpurea",6,FALSE,78501,"Euphorbiaceae","Euphorbia","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
