"taxon_name","n","native_to_europe","wcvp_accepted_id.x","family","genus","LifeCycle","Woodiness","woodiness","lifecycle","tiles","area_km2","wcvp_status","wcvp_accepted_id.y","taxon_name.y","min_fr","rel_status","mean_longitude","mean_latitude","distance_to_europe_center"
"Acer buergerianum",1,FALSE,2615419,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",12,28368.3824366883,"Accepted",2615419,"Acer buergerianum",NA,"Genus in Europe",112.389645532724,29.5610608440129,7640.81454115477
"Acer carpinifolium",1,FALSE,2615502,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",9,12082.8969240036,"Accepted",2615502,"Acer carpinifolium",NA,"Genus in Europe",138.214120033694,37.9061166876332,8060.8168110573
"Acer circinatum",5,FALSE,2615530,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",6,8325.10633478966,"Accepted",2615530,"Acer circinatum",NA,"Genus in Europe",-127.633892248779,49.7960607024922,7476.29590238349
"Acer davidii",1,FALSE,2615577,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",29,50333.6267797311,"Accepted",2615577,"Acer davidii",NA,"Genus in Europe",107.811140660641,31.9922741417643,7172.06118201325
"Acer davidii subsp. grosseri",1,FALSE,2615579,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",29,50333.6267797311,"Accepted",2615579,"Acer davidii subsp. grosseri",NA,"Genus in Europe",109.53258645713,31.4963720370468,7309.94436643726
"Acer glabrum",1,FALSE,2615664,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-115.278815221416,44.533912403623,7658.28369119177
"Acer japonicum",4,FALSE,2615790,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",53,92579.9668678964,"Accepted",2615790,"Acer japonicum",2008,"Genus in Europe",144.598446667283,42.5213483229847,7837.82495714686
"Acer macrophyllum",5,FALSE,2615900,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",17,30116.707642133,"Accepted",2615900,"Acer macrophyllum",NA,"Genus in Europe",-127.633892248779,49.7960607024922,7476.29590238349
"Acer mandshuricum",1,FALSE,2615913,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",4,8203.51256677354,"Accepted",2615913,"Acer mandshuricum",NA,"Genus in Europe",124.542295262126,41.858018909543,7099.12658048215
"Acer miyabei",1,FALSE,2615945,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",120.711263701038,34.5847391669354,7599.30935015519
"Acer monspessulanum subsp. cinerascens",2,FALSE,2615980,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",43.4716125096803,36.1864782275279,3268.98347343036
"Acer monspessulanum subsp. ibericum",1,FALSE,2615988,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",655,1512515.26732327,"Accepted",2615988,"Acer monspessulanum subsp. ibericum",NA,"Genus in Europe",44.5097212159612,39.302756986279,3023.88886358864
"Acer monspessulanum subsp. microphyllum",4,FALSE,2615994,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",655,1512515.26732327,"Accepted",2615994,"Acer monspessulanum subsp. microphyllum",NA,"Genus in Europe",36.9128105127592,37.0053081386959,2912.1626621514
"Acer negundo",42,FALSE,2616024,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",2666,5170785.663057,"Accepted",2616024,"Acer negundo",1688,"Genus in Europe",-94.3583844043279,36.9947898927267,7547.38022319461
"Acer oblongum",1,FALSE,2616086,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",97.5798916836163,26.3079859366091,7119.99612148059
"Acer palmatum",8,FALSE,2616153,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",206,377693.495369079,"Accepted",2616153,"Acer palmatum",1950,"Genus in Europe",132.838731139787,38.2590094247754,7805.09508234546
"Acer pensylvanicum",3,FALSE,2616210,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",20,26995.2395973544,"Accepted",2616210,"Acer pensylvanicum",2008,"Genus in Europe",-81.4952946943852,40.80519572721,6571.08898855285
"Acer pictum",1,FALSE,2616218,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",11,19853.9754031368,"Accepted",2616218,"Acer pictum",2008,"Genus in Europe",122.807526283058,42.2612008897584,6983.07302532898
"Acer pseudosieboldianum",1,FALSE,2616285,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",3,5730.60100458485,"Accepted",2616285,"Acer pseudosieboldianum",2017,"Genus in Europe",129.579480884321,43.2951758237409,7183.420384774
"Acer rubrum",8,FALSE,2616329,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",131,246721.618216979,"Accepted",2616329,"Acer rubrum",2006,"Genus in Europe",-84.11821000585,39.9486831207018,6779.34905229646
"Acer saccharinum",29,FALSE,2616367,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",749,1425537.93930125,"Accepted",2616367,"Acer saccharinum",1807,"Genus in Europe",-85.2058963793822,40.7791862945228,6758.20948109835
"Acer saccharum",8,FALSE,2616387,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",39,79012.0895126943,"Accepted",2616387,"Acer saccharum",1912,"Genus in Europe",-86.2503773167725,38.6410962331338,7003.91694946125
"Acer spicatum",2,FALSE,2616481,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",11,22171.7803456142,"Accepted",2616481,"Acer spicatum",1931,"Genus in Europe",-82.1652306358632,43.9093046333898,6329.76036998064
"Acer tataricum subsp. ginnala",10,FALSE,2616532,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",1202,2182261.14725144,"Accepted",2616532,"Acer tataricum subsp. ginnala",NA,"Genus in Europe",123.950152726769,43.5942347125413,6911.13584755072
"Acer tataricum subsp. semenovii",2,FALSE,2616538,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",1202,2182261.14725144,"Accepted",2616538,"Acer tataricum subsp. semenovii",NA,"Genus in Europe",71.2407869451,40.9314018061356,4340.5398216355
"Acer undulatum",7,FALSE,2616614,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",35.441648478726,39.0283978298971,2653.64917378203
"Acer velutinum",2,FALSE,2616618,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1,2342.91412412461,"Accepted",2616618,"Acer velutinum",NA,"Genus in Europe",49.8874054681928,36.9018411757196,3509.19808972
"Achillea alpina",3,FALSE,2906148,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",3,5247.19702893522,"Accepted",2906148,"Achillea alpina",NA,"Genus in Europe",39.9865407591548,51.0824578392883,1808.9538346982
"Achillea biserrata",4,FALSE,3109820,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",41.2733422374216,41.4835691037231,2669.44073920453
"Achillea cucullata",1,FALSE,3109770,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",35.441648478726,39.0283978298971,2653.64917378203
"Achillea filipendulina",11,FALSE,3109923,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",964,1907748.82676868,"Accepted",3109923,"Achillea filipendulina",1870,"Genus in Europe",56.1898199273704,38.322032877272,3712.20704479496
"Achillea goniocephala",1,FALSE,3109940,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",35.441648478726,39.0283978298971,2653.64917378203
"Achillea phrygia",3,FALSE,3110097,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",35.441648478726,39.0283978298971,2653.64917378203
"Achillea ptarmicifolia",2,FALSE,3110131,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",44.1891891167694,42.7111547406361,2700.97630465051
"Achillea sintenisii",1,FALSE,3110174,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",35.441648478726,39.0283978298971,2653.64917378203
"Achillea sipikorensis",1,FALSE,3110175,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",35.441648478726,39.0283978298971,2653.64917378203
"Achillea tenuifolia",4,FALSE,3110192,"Asteraceae","Achillea","Perennial","Woody","Woody","Perennial",2,2770.96536513208,"Accepted",3110192,"Achillea tenuifolia",NA,"Genus in Europe",54.4164012874212,37.2201986569077,3714.47997448685
"Achillea teretifolia",1,FALSE,3110194,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",35.441648478726,39.0283978298971,2653.64917378203
"Achillea wilhelmsii",1,FALSE,3109777,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",42.5904445397954,34.0281991611225,3439.72203110957
"Achnatherum pekinense",1,FALSE,387140,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",127.349016871685,42.7419629432246,7140.30596664196
"Achnatherum sibiricum",1,FALSE,387154,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",94.5842377180928,45.0248257685358,5326.83378337652
"Aconitum barbatum",2,FALSE,2618419,"Ranunculaceae","Aconitum",NA,"Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",106.777481071326,50.5939428596936,5499.33501164761
"Aconitum carmichaelii",2,FALSE,2618501,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",27,43532.563855325,"Accepted",2618501,"Aconitum carmichaelii",NA,"Genus in Europe",112.559271574174,33.5951499866793,7277.89639107765
"Aconitum fischeri",1,FALSE,2618710,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",136.443630413511,50.1181615096514,6800.06541185934
"Aconitum orientale",2,FALSE,2619270,"Ranunculaceae","Aconitum",NA,"Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",41.2733422374216,41.4835691037231,2669.44073920453
"Aconitum volubile",1,FALSE,2619747,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",108.681549098447,52.9987706267284,5393.84699915085
"Aconitum yuparense",1,FALSE,2619809,"Ranunculaceae","Aconitum","Perennial",NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",138.214120033694,37.9061166876332,8060.8168110573
"Actaea cordifolia",1,FALSE,2620528,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",4,8146.61984624057,"Accepted",2620528,"Actaea cordifolia",NA,"Genus in Europe",-85.4519013943621,37.3070352736599,7086.08597703725
"Actaea dahurica",1,FALSE,2620530,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",121.095344372976,44.8748277912548,6665.21121637182
"Actaea japonica",1,FALSE,2620541,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",117.336319682202,31.7016843825928,7699.99155879424
"Actaea pachypoda",3,FALSE,2620557,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",1,1621.83943485189,"Accepted",2620557,"Actaea pachypoda",NA,"Genus in Europe",-81.7578350965476,40.2162379374501,6636.8710663543
"Actaea racemosa",2,FALSE,2620567,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",9,14872.9946531578,"Accepted",2620567,"Actaea racemosa",1993,"Genus in Europe",-81.4894138031177,38.8093431425856,6749.23363725939
"Actaea rubra",4,FALSE,2620570,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",286,281738.916822957,"Accepted",2620570,"Actaea rubra",1900,"Genus in Europe",-93.9939100976725,46.7427556292089,6622.91527309513
"Actaea simplex",1,FALSE,2620576,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",4,7326.90900542381,"Accepted",2620576,"Actaea simplex",NA,"Genus in Europe",127.59047051245,46.2263701915691,6823.81875062115
"Adenocarpus foliolosus",30,FALSE,2621673,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial",2,5685.91128112898,"Accepted",2621673,"Adenocarpus foliolosus",NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Adenocarpus viscosus",20,FALSE,2621704,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-15.6754686626662,28.3400533609037,4135.12462660314
"Aegilops crassa",6,FALSE,387623,"Poaceae","Aegilops","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe",54.5981560458293,37.970539252151,3657.58269968016
