"species","tiles","area"
"Aconitum carmichaelii",27,43532563855.325
"Aconitum degenii",139,236529530227.1
"Aconitum firmum",26,49575886340.7655
"Aconitum lamarckii",87,190420590291.912
"Aconitum lasiocarpum",5,10545492337.9334
"Aconitum lasiostomum",60,128391524528.183
"Aconitum lycoctonum",867,1536964226209.31
"Aconitum moldavicum",39,74029048101.9422
"Aconitum napellus",973,1622634357128.42
"Aconitum napellus subsp. lusitanicum",247,430863731274.873
"Aconitum plicatum",45,69328251853.5322
"Aconitum septentrionale",979,1206631645139.14
"Aconitum tauricum",37,71367263472.4803
"Aconitum toxicum",4,9297850766.5374
"Aconitum variegatum",302,559842731376.487
"Aconitum vulparia",246,496873304316.995
"Aconitum × cammarum",583,664888603775.184
"Acorus calamus",1185,1996621966286.85
"Acorus gramineus",6,12664640718.6391
"Acrospelion distichophyllum",93,165997953576.7
"Actaea cordifolia",4,8146619846.24057
"Actaea erythrocarpa",178,222774211791.802
"Actaea europaea",33,70479251075.6875
"Actaea pachypoda",1,1621839434.85189
"Actaea racemosa",9,14872994653.1578
"Actaea rubra",286,281738916822.957
"Actaea simplex",4,7326909005.42381
"Actaea spicata",2326,3560317775506.83
"Actinidia chinensis",178,326186962061.666
"Actinidia chinensis var. deliciosa",10,19424524454.5877
"Adenocarpus complicatus",181,477156496801.039
"Adenocarpus complicatus subsp. samniticus",1,3350012842.68237
"Adenocarpus decorticans",21,60697500859.4811
"Adenocarpus foliolosus",2,5685911281.12898
"Adenocarpus hispanicus",28,77595883406.6741
"Adenocarpus telonensis",59,164783046159.055
"Adenophora liliifolia",221,385040268137.109
"Adenostyles alliariae",266,528371196626.991
"Adenostyles alpina",224,450741697477.989
"Adenostyles alpina subsp. pyrenaica",22,43451500106.6885
"Adenostyles australis",17,45816239629.0095
"Adenostyles leucophylla",116,230347298082.189
"Adiantum capillus-veneris",660,1409951166791.94
"Adonis aestivalis",665,1475757177928.24
"Adonis annua",519,1148125594987.76
"Adonis distorta",3,7155258672.97025
"Adonis flammea",399,939251437206.387
"Adonis pyrenaica",30,60002371208.6051
"Adonis vernalis",927,1844685137398.28
"Adonis volgensis",144,293288982617.663
"Adoxa moschatellina",1868,3034316348847.16
"Aegilops biuncialis",41,71278760638.5721
"Aegilops caudata",9,18209967132.9886
"Aegilops cylindrica",291,601246333097.316
"Aegilops geniculata",433,1029973917779.7
"Aegilops longissima",1,3572224493.49669
"Aegilops neglecta",277,701795131222.671
"Aegilops speltoides",12,27382763302.0184
"Aegilops tauschii",2,3806265729.51291
"Aegilops triuncialis",278,722394933354.438
"Aegilops umbellulata",1,2191558072.17307
