plant_species;family;number_herb;number_herb_leaf;AOO;mean_N_per_LDM;EIV-N;EIV-T;EIV-L;plant_height;Woodiness
Meum athamanticum;Apiaceae;24;17;682.5466666666666;23.209985923753138;3.35926706805995;2.86163625024706;7.86063755985672;0.33141860391991484;Non-Woody
Mibora minima;Poaceae;1;1;25.816666666666663;NA;2.34771606096491;6.39734549994732;8.69193115027207;0.05313292845913055;Non-Woody
Micranthes stellaris;Saxifragaceae;2;2;114.32;NA;3.01024560554067;1.29900166903155;7.95051133736385;0.03667376594731701;NA
Milium effusum;Poaceae;45;40;8611.933333333334;22.275746484653077;6.4757502590956655;2.74927603518251;4.324063941931785;0.911802822781911;Non-Woody
Minuartia setacea;Caryophyllaceae;8;4;13.576666666666666;NA;1.42255958405393;5.1501863004545;8.58540650920962;0.09085602964160698;Non-Woody
Misopates orontium;Plantaginaceae;17;10;911.8433333333334;NA;5.43444146478881;5.73246779098049;7.49574904320126;0.403432486935201;Non-Woody
Moehringia ciliata;Caryophyllaceae;3;2;119.67666666666666;NA;2.32351737004554;1.2717554772313;9.17084567591151;0.10000000000000002;Non-Woody
Moehringia muscosa;Caryophyllaceae;4;3;205.56000000000003;NA;2.62184626734423;2.9419879359955;4.10943630605049;0.1144714242553332;Non-Woody
Moehringia trinervia;Caryophyllaceae;15;11;9756.513333333334;NA;6.49641368445031;3.90213819959826;3.25091689706505;0.21779385873464313;Non-Woody
Moenchia erecta;Caryophyllaceae;3;2;37.48;NA;1.67231616777268;5.65490885918349;9.07444582107714;0.06887246539984299;Non-Woody
Molinia arundinacea;Poaceae;9;8;NA;NA;3.35929217732439;4.38806307720319;6.14777557216179;NA;NA
Molinia caerulea;Poaceae;94;72;9713.33;13.00239296799471;2.12576427603981;4.01566031687398;6.81594907760452;0.4089787560792852;Non-Woody
Moneses uniflora;Ericaceae;3;2;569.9633333333333;19.687559523719536;1.86764840408741;2.93763330478266;2.76611408827172;0.0547722557505166;Non-Woody
Montia fontana;Montiaceae;1;0;1416.966666666667;NA;4.26619371890737;3.69546862421308;7.64535181760268;0.11927939142182212;Non-Woody
Muscari botryoides;Asparagaceae;5;2;826.11;NA;4.81756479892478;4.69249181499916;6.68071715332761;0.18612097182041995;Non-Woody
Muscari comosum;Asparagaceae;15;9;269.8433333333333;NA;5.158543201473;5.74501396460828;7.39300264178356;NA;NA
Muscari neglectum;Asparagaceae;4;3;622.6766666666666;NA;4.4262831967362;5.4791247844772;7.27564155400883;0.20049751858748063;Non-Woody
Muscari tenuiflorum;Asparagaceae;3;2;31.290000000000003;NA;3.11399885864675;5.70993532887532;7.31564273224757;NA;NA
Myosotis arvensis;Boraginaceae;19;13;10233.323333333334;24.500000000000004;5.73773281512049;3.87196526611346;6.50787998621909;0.395845721906687;Non-Woody
Myosotis discolor;Boraginaceae;5;3;2004.5766666666664;NA;2.76918470005709;5.03371302209557;7.54100282533778;0.12164403991146802;Non-Woody
Myosotis ramosissima;Boraginaceae;8;6;3190.6766666666667;NA;3.13413295835497;4.8561867039431;8.6778220579354;0.1025985568006018;Non-Woody
Myosotis laxa;Boraginaceae;5;4;NA;NA;5.90324596793737;4.43340111743396;7.00122356170115;0.15535996806282962;Non-Woody
Myosotis nemorosa;Boraginaceae;6;4;NA;NA;5.27500220084498;3.69297673934089;5.97698810287295;0.4369340478600881;Non-Woody
Myosotis scorpioides;Boraginaceae;34;25;10106.053333333331;24.080697664311973;5.79437270057776;3.86157278047612;6.40575061284555;0.39563209984148817;Non-Woody
Myosotis sparsiflora;Boraginaceae;2;2;227.30999999999997;NA;6.32058839167026;4.38263320747925;4.87626705902144;0.2978946067764474;Non-Woody
