"taxon_name","min_fr"
"Centaurea phrygia",1685
"Centaurea pseudomaculosa",1965
"Centaurea rupestris",1817
"Centaurea scabiosa",1744
"Centaurea scabiosa subsp. adpressa",2008
"Centaurea solstitialis",1778
"Centaurea stoebe",1658
"Centaurea stoebe subsp. stoebe",1882
"Centaurea triumfettii",1908
"Centaurea varnensis",1910
"Centaurea × extranea",1840
"Centaurea × gerstlaueri",1930
"Centella asiatica",2004
"Centipeda minima",1850
"Centromadia pungens",1893
"Ceodes umbellifera",1966
"Cephalaria alpina",1916
"Cephalaria gigantea",1870
"Cephalaria radiata",1895
"Cephalaria syriaca",1873
"Cephalaria transsylvanica",1890
"Cerastium arvense",1744
"Cerastium arvense subsp. arvense",1968
"Cerastium biebersteinii",1976
"Cerastium brachypetalum",1944
"Cerastium comatum",1828
"Cerastium dichotomum",1945
"Cerastium fontanum",1989
"Cerastium glomeratum",1700
"Cerastium holosteoides",1897
"Cerastium tomentosum",1869
"Ceratocapnos claviculata",1825
"Ceratonia siliqua",1834
"Ceratophyllum submersum",1779
"Ceratopteris thalictroides",1950
"Cercidiphyllum japonicum",1980
"Cercis siliquastrum",1835
"Cereus repandus",2003
"Cerinthe major",1883
"Cerinthe minor",1860
"Cestrum parqui",1995
"Chaenomeles japonica",1865
"Chaenomeles speciosa",1826
"Chaenomeles × superba",1988
"Chaenorhinum litorale",1948
"Chaenorhinum minus",1633
"Chaenorhinum origanifolium",1899
"Chaenostoma cordatum",1862
"Chaerophyllum aromaticum",1600
"Chaerophyllum aureum",1600
"Chaerophyllum bulbosum",1600
"Chaerophyllum byzantinum",1885
"Chaerophyllum hirsutum",1894
"Chaerophyllum nodosum",1982
"Chaerophyllum temulum",1894
"Chaiturus marrubiastrum",1803
"Chamaecrista nictitans",1999
"Chamaecyparis lawsoniana",1600
"Chamaecyparis pisifera",1968
"Chamaecytisus elongatus",1912
"Chamaecytisus hirsutus",1872
"Chamaecytisus purpureus",1968
"Chamaecytisus supinus",1892
"Chamaecytisus triflorus",1892
"Chamaemelum fuscatum",1962
"Chamaemelum nobile",1850
"Chasmanthe aethiopica",1984
"Chasmanthe bicolor",1960
"Chasmanthium latifolium",1889
"Cheirolophus intybaceus",1868
"Chelidonium majus",1548
"Chelone glabra",1953
"Chelone obliqua",1889
"Chenopodiastrum hybridum",1704
"Chenopodiastrum murale",1634
"Chenopodiastrum simplex",1882
"Chenopodium acuminatum",1777
"Chenopodium album",1795
"Chenopodium album var. album",1885
"Chenopodium auricomiforme",1911
"Chenopodium berlandieri",1890
"Chenopodium desiccatum",1885
"Chenopodium ficifolium",1713
"Chenopodium giganteum",1874
"Chenopodium hircinum",1874
"Chenopodium karoi",1925
"Chenopodium leptophyllum",1906
"Chenopodium nitrariaceum",1961
"Chenopodium opulifolium",1853
"Chenopodium polygonoides",1951
"Chenopodium pratericola",1893
"Chenopodium quinoa",1810
"Chenopodium suecicum",1827
"Chenopodium vulvaria",1597
"Chenopodium × borbasii",1947
"Chenopodium × reynieri",2009
"Cherleria laricifolia",1850
"Chiastophyllum oppositifolium",1933
"Chimonobambusa quadrangularis",1993
"Chloris barbata",1912
"Chloris divaricata",1887
"Chloris pectinata",1887
"Chloris pycnothrix",1887
"Chloris radiata",1961
"Chloris truncata",1887
"Chloris ventricosa",1865
"Chloris virgata",1858
"Chlorophytum comosum",2015
"Chloropyron maritimum",1994
"Choisya ternata",1980
"Chondrilla juncea",1972
"Chondrilla pauciflora",1993
"Chorispora tenella",1875
"Chrysocoma cernua",1914
"Chrysocoma ciliata",1957
"Cicer arietinum",1813
"Cicerbita alpina",2006
"Cicerbita bourgaei",1940
"Cicerbita macrophylla",1700
"Cicerbita plumieri",1917
"Cichorium calvum",1850
"Cichorium endivia",1912
"Cichorium intybus",1538
"Cichorium pumilum",1918
"Cirsium canum",1600
"Cirsium dissectum",1959
"Cirsium echinus",1937
"Cirsium erisithales",1980
"Cirsium helenioides",1745
"Cirsium heterophyllum",1918
"Cirsium obvallatum",1947
"Cirsium oleraceum",1769
"Cirsium palustre",1950
"Cirsium rivulare",1750
"Cirsium tuberosum",1869
"Cirsium vulgare",1769
"Cirsium × subalpinum",1854
"Cistanthe grandiflora",1859
"Cistus albidus",1993
"Cistus lasianthus subsp. alyssoides",1837
"Cistus laurifolius",1835
"Cistus monspeliensis",1895
"Citrullus colocynthis",1925
"Citrullus lanatus",1814
"Citrus × aurantium",1885
"Cladanthus mixtus",1832
"Clarkia amoena",1882
"Clarkia bottae",2017
"Clarkia concinna",1904
"Clarkia pulchella",1891
"Clarkia purpurea",1894
"Clarkia rhomboidea",1946
"Clarkia unguiculata",1912
"Claytonia perfoliata",1849
"Claytonia rubra",2012
"Claytonia sibirica",1837
"Clematis alpina",1998
"Clematis cirrhosa",1969
"Clematis flammula",1869
"Clematis glauca",1880
"Clematis integrifolia",1882
"Clematis montana",1834
"Clematis orientalis",1953
"Clematis recta",1807
"Clematis tangutica",1864
"Clematis vitalba",1613
"Clematis viticella",1807
"Clematis × jackmanii",1854
"Cleome houtteana",1967
"Cleome spinosa",1935
"Cleome usambarica",1928
"Clerodendrum bungei",2005
"Clerodendrum trichotomum",1856
"Clethra alnifolia",1984
"Clinopodium acinos",1838
"Clinopodium alpinum",2005
"Clinopodium grandiflorum",1855
"Clinopodium menthifolium",1855
"Clinopodium nepeta",1862
"Clinopodium vulgare",1866
"Clypeola jonthlaspi",1994
"Cnidium silaifolium",1868
"Cochlearia danica",1870
"Cochlearia officinalis",1658
"Codonopsis clematidea",1947
"Coincya monensis",1852
"Coincya tournefortii",1854
"Coix lacryma-jobi",1959
"Colchicum autumnale",1816
"Colchicum × byzantinum",1999
"Coleostephus myconis",1870
"Collinsia heterophylla",1835
"Collomia biflora",1869
"Collomia grandiflora",1880
"Collomia linearis",1885
"Colobanthus subulatus",1911
"Colocasia esculenta",1898
"Colpodium pisidicum",2010
"Colutea arborescens",1813
"Colutea × media",1892
"Commelina communis",1839
"Commelina communis var. communis",1947
"Commelina diffusa",1997
"Commelina obliqua",1956
"Commelina tuberosa",1932
"Comptonia peregrina",1813
"Conium maculatum",1548
"Conopodium majus",1816
"Conringia austriaca",1835
"Conringia orientalis",1724
"Convallaria majalis",1839
"Convolvulus arvensis",1658
"Convolvulus farinosus",1913
"Convolvulus tricolor",1798
"Coprosma repens",1963
"Cordyline australis",1965
"Cordylocarpus muricatus",1950
"Coreopsis grandiflora",1885
"Coreopsis lanceolata",1885
"Coreopsis tinctoria",1855
"Coriandrum sativum",1793
"Coriaria myrtifolia",1944
"Corispermum algidum",1977
"Corispermum aralocaspicum",1934
"Corispermum declinatum",1896
"Corispermum elongatum",1917
"Corispermum hyssopifolium",1894
"Corispermum intermedium",1847
"Corispermum marschallii",1821
"Corispermum nitidum",1967
"Corispermum pallasii",1849
"Corispermum redowskii",1994
"Corispermum tylocarpum",1917
"Cormus domestica",1677
"Cornus alba",1741
"Cornus alternifolia",1872
"Cornus canadensis",1901
"Cornus capitata",1989
"Cornus mas",1912
"Cornus sanguinea",1800
"Cornus sericea",1805
"Coronilla scorpioides",1859
"Coronilla securidaca",1803
"Coronilla valentina",1949
"Coronilla varia",1784
"Correa backhouseana",1994
"Corrigiola litoralis",1834
"Cortaderia selloana",1899
"Corydalis angustifolia",1990
"Corydalis aurea",1891
"Corydalis bracteata",1925
"Corydalis capnoides",1803
"Corydalis cava",1656
"Corydalis cheilanthifolia",1918
"Corydalis linstowiana",1916
"Corydalis nobilis",1708
"Corydalis ophiocarpa",1857
"Corydalis solida",1796
"Corydalis wendelboi",2009
"Corylus avellana",1974
"Corylus colurna",1845
"Corylus maxima",1902
"Corynabutilon × suntense",2002
"Corynephorus canescens",1805
"Cosmos bipinnatus",1807
"Cosmos sulphureus",1869
"Cota altissima",1869
"Cota austriaca",1850
"Cota segetalis",1880
"Cota tinctoria",1658
"Cotinus coggygria",1705
"Cotoneaster acuminatus",1987
"Cotoneaster acutifolius",1797
"Cotoneaster adpressus",1967
"Cotoneaster affinis",1971
"Cotoneaster ambiguus",1875
"Cotoneaster apiculatus",1992
"Cotoneaster ascendens",1954
"Cotoneaster bradyi",2003
"Cotoneaster bullatus",1938
"Cotoneaster buxifolius",1987
"Cotoneaster congestus",1988
"Cotoneaster conspicuus",1984
"Cotoneaster cooperi",1985
"Cotoneaster coriaceus",1968
"Cotoneaster dammeri",1955
"Cotoneaster dielsianus",1929
"Cotoneaster divaricatus",1904
"Cotoneaster floridus",1984
"Cotoneaster franchetii",1950
"Cotoneaster frigidus",1918
"Cotoneaster froebelii",1984
"Cotoneaster fruticosus",2002
"Cotoneaster ganghobaensis",2000
"Cotoneaster glabratus",2001
"Cotoneaster glaucophyllus",1997
"Cotoneaster hebephyllus",1981
"Cotoneaster hedegaardii",1989
"Cotoneaster hissaricus",1969
"Cotoneaster hjelmqvistii",1969
"Cotoneaster horizontalis",1909
"Cotoneaster ignescens",1987
"Cotoneaster ignotus",1983
"Cotoneaster insignis",1998
"Cotoneaster integerrimus",1797
"Cotoneaster integrifolius",1893
"Cotoneaster latifolius",1913
"Cotoneaster laxiflorus",1930
"Cotoneaster lindleyi",1959
"Cotoneaster microphyllus",1905
"Cotoneaster moupinensis",1966
"Cotoneaster multiflorus",1950
"Cotoneaster nan-shan",1926
"Cotoneaster nebrodensis",1926
"Cotoneaster nitens",1982
"Cotoneaster nitidus",1985
"Cotoneaster nohelii",2005
"Cotoneaster obscurus",1994
"Cotoneaster pannosus",1972
"Cotoneaster qungbixiensis",1983
"Cotoneaster radicans",1981
"Cotoneaster rotundifolius",1939
"Cotoneaster salicifolius",1944
"Cotoneaster shannanensis",1985
"Cotoneaster sherriffii",1985
"Cotoneaster simonsii",1910
"Cotoneaster soongoricus",1993
"Cotoneaster tomentosus",1926
"Cotoneaster zabelii",1977
"Cotoneaster × suecicus",1984
"Cotoneaster × watereri",1968
"Cotula alpina",1980
"Cotula anthemoides",1872
"Cotula australis",1893
"Cotula coronopifolia",1700
"Cotula turbinata",1947
"Cousinia tenella",1962
"Crambe cordifolia",1966
"Crambe hispanica",1893
"Crambe orientalis",1885
"Crassula aquatica",1954
"Crassula decumbens",1904
"Crassula helmsii",1894
"Crassula multicava",1999
"Crassula peduncularis",1893
"Crassula pubescens",1970
"Crassula tillaea",1991
"Crataegus coccinea",1810
"Crataegus coccinioides",1970
"Crataegus crus-galli",1900
"Crataegus dahurica",1887
"Crataegus douglasii",1865
"Crataegus flabellata",1827
"Crataegus germanica",1597
"Crataegus heterophylla",1930
"Crataegus intricata",1941
"Crataegus laevigata",1827
"Crataegus macracantha",1885
"Crataegus mollis",1990
"Crataegus monogyna",1813
"Crataegus orientalis",1918
"Crataegus pentagyna",1982
"Crataegus persimilis",1873
"Crataegus rhipidophylla",2007
"Crataegus sanguinea",1865
"Crataegus submollis",1887
"Crataegus succulenta",1958
"Crataegus × gillotii",1930
"Crataegus × kyrtostyla",1980
"Crepis aurea",1995
"Crepis biennis",1694
"Crepis bursifolia",1895
"Crepis capillaris",1662
"Crepis foetida",1660
"Crepis jacquinii",1969
"Crepis neglecta",1876
"Crepis nicaeensis",1694
"Crepis pulchra",1830
"Crepis rubra",1987
"Crepis sancta",1807
"Crepis setosa",1700
"Crepis sibirica",1940
"Crepis tectorum",1700
"Crepis vesicaria",1713
"Crepis zacintha",1948
"Crinum × powellii",1975
"Crithopsis delileana",1901
"Crocosmia aurea",1944
"Crocosmia masoniorum",1982
"Crocosmia paniculata",1961
"Crocosmia pottsii",1982
"Crocosmia × crocosmiiflora",1885
"Crocus ancyrensis",1992
"Crocus angustifolius",1807
"Crocus autumnalis",1992
"Crocus banaticus",1984
"Crocus biflorus",1830
"Crocus chrysanthus",1925
"Crocus etruscus",1998
"Crocus flavus",1913
"Crocus heuffelianus",1977
"Crocus kotschyanus",1929
"Crocus ligusticus",1935
"Crocus longiflorus",1992
"Crocus nudiflorus",1738
"Crocus pulchellus",1983
"Crocus sieberi",1984
"Crocus speciosus",1890
"Crocus tommasinianus",1848
"Crocus vernus",1763
"Crocus × luteus",1832
"Crucianella angustifolia",1837
"Cruciata glabra",1901
"Cruciata laevipes",1901
"Cruciata pedemontana",1950
"Crupina vulgaris",1891
"Cryptocoryne crispatula",1992
"Cryptocoryne wendtii",1992
"Cryptomeria japonica",1965
"Cryptotaenia canadensis",1891
"Cucumis dipsaceus",1949
"Cucumis melo",1791
"Cucumis metuliferus",1999
"Cucumis myriocarpus",1895
"Cucumis sativus",1810
"Cucurbita ficifolia",1835
"Cucurbita foetidissima",1805
"Cucurbita maxima",1810
"Cucurbita moschata",1901
"Cucurbita pepo",1810
"Cullen americanum",1911
"Cullen cinereum",1858
"Cuminum cyminum",1832
"Cuphea lanceolata",1950
"Cupressus sempervirens",1804
"Cuscuta approximata",1891
"Cuscuta australis",1937
"Cuscuta australis var. tineoi",1830
"Cuscuta campestris",1777
"Cuscuta epilinum",1866
"Cuscuta epithymum",1850
"Cuscuta europaea",1881
"Cuscuta gronovii",1881
"Cuscuta lupuliformis",1885
"Cuscuta monogyna",1840
"Cuscuta pentagona",1935
"Cuscuta planiflora",1895
"Cuscuta suaveolens",1803
"Cyclamen coum",1920
"Cyclamen hederifolium",1597
"Cyclamen purpurascens",1890
"Cyclamen repandum",1925
"Cyclanthera brachystachya",1925
"Cyclospermum leptophyllum",1661
"Cydonia oblonga",1859
"Cylindropuntia imbricata",1970
"Cymbalaria hepaticifolia",1965
"Cymbalaria muralis",1640
"Cymbalaria pallida",1924
"Cynanchica pyrenaica",1901
"Cynara cardunculus",1904
"Cynara cardunculus subsp. cardunculus",1500
"Cynodon convergens",1946
"Cynodon dactylon",1688
"Cynodon incompletus",1824
"Cynodon tenellus",1947
"Cynoglossum amabile",1939
"Cynoglossum clandestinum",1906
"Cynoglossum columnae",1887
"Cynoglossum microglochin",1925
"Cynoglossum officinale",1500
"Cynoglossum wallichii",1906
"Cynoglottis barrelieri",1830
"Cynosurus cristatus",1922
"Cynosurus echinatus",1778
"Cyperus aggregatus",1886
"Cyperus alatus",1962
"Cyperus alternifolius",1943
"Cyperus alternifolius subsp. flabelliformis",1816
"Cyperus brevifolius",1891
"Cyperus congestus",1886
"Cyperus conglomeratus",1947
"Cyperus cyperoides",1911
"Cyperus difformis",1896
"Cyperus eragrostis",1891
"Cyperus esculentus",1911
"Cyperus exaltatus",1911
"Cyperus fuscus",1950
"Cyperus glomeratus",1895
"Cyperus houghtonii",1931
"Cyperus imbricatus",1947
"Cyperus longus",1887
"Cyperus lupulinus",1906
"Cyperus michelianus",1989
"Cyperus odoratus",1992
"Cyperus reflexus",1887
"Cyperus rigens",1951
"Cyperus rotundus",1947
"Cyperus virens",1947
"Cypripedium reginae",1935
"Cyrtomium falcatum",1951
"Cyrtomium fortunei",2002
"Cystopteris bulbifera",2017
"Cytisophyllum sessilifolium",1949
"Cytisus decumbens",1858
"Cytisus multiflorus",1910
"Cytisus nigricans",1791
"Cytisus scoparius",1791
"Cytisus striatus",1961
"Cytisus × praecox",1875
"Cytisus × versicolor",2003
"Daboecia cantabrica",1944
"Dactylis glomerata",1882
"Dactyloctenium aegyptium",1882
"Dactyloctenium radulans",1887
"Dactylorhiza majalis",1999
"Dahlia coccinea",1997
"Dahlia pinnata",1885
"Dahlia × hortensis",1895
"Danae racemosa",1835
"Daphne laureola",1889
"Daphne mezereum",1896
"Darmera peltata",1926
"Dasiphora fruticosa",1890
"Dasiphora glabrata",1893
"Dasypyrum villosum",1791
"Datura ferox",1949
"Datura innoxia",1856
"Datura leichhardtii",1947
"Datura stramonium",1550
"Datura wrightii",1995
"Daucosma laciniata",1875
"Daucus aureus",1921
"Daucus carota",1767
"Daucus durieua",1892
"Daucus glochidiatus",1892
"Decaisnea insignis",2009
"Deinandra fasciculata",1922
"Deinandra kelloggii",1904
"Delairea odorata",1883
"Delosperma cooperi",2018
"Delphinium ajacis",1650
"Delphinium austriacum",1951
"Delphinium consolida",1804
"Delphinium elatum",1803
"Delphinium grandiflorum",1892
"Delphinium hispanicum",1785
"Delphinium × barlowii",1862
"Dendrosenecio adnivalis",1901
"Dennstaedtia punctilobula",1900
"Deschampsia cespitosa",1923
"Descurainia erodiifolia",2002
"Descurainia incana",1893
"Descurainia incisa",1893
"Descurainia pinnata",1894
"Descurainia sophia",1570
"Desmanthus illinoensis",1995
"Desmazeria sicula",1865
"Deutzia crenata",1990
"Deutzia purpurascens",2001
"Deutzia scabra",1880
"Dianthus barbatus",1709
"Dianthus campestris",1918
"Dianthus carthusianorum",1777
"Dianthus caryophyllus",1745
"Dianthus chinensis",1931
"Dianthus cruentus",1912
"Dianthus deltoides",2010
"Dianthus giganteus",1850
"Dianthus glacialis",1936
"Dianthus gratianopolitanus",1830
"Dianthus hyssopifolius",1892
"Dianthus knappii",2007
"Dianthus plumarius",1724
"Dianthus praecox subsp. lumnitzeri",1998
"Dianthus subacaulis",1850
"Dianthus superbus",1850
"Dianthus tripunctatus",1952
"Dicentra eximia",1912
"Dicentra formosa",1888
"Dichanthelium acuminatum",1971
"Dichanthelium clandestinum",1999
"Dichanthium sericeum",1961
"Dichasianthus runcinatus",1865
"Dichodon viscidum",1937
"Dichondra argentea",2017
"Dichondra micrantha",1942
"Dicksonia antarctica",1960
"Diervilla lonicera",1925
"Digitalis ferruginea",1890
"Digitalis grandiflora",1791
"Digitalis laevigata",1927
"Digitalis lanata",1881
"Digitalis lutea",1866
"Digitalis purpurea",1790
"Digitaria abyssinica",1947
"Digitaria acuminatissima",1947
"Digitaria aequiglumis",1911
"Digitaria brownii",1828
"Digitaria ciliaris",1828
"Digitaria debilis",1979
"Digitaria ischaemum",1805
"Digitaria sanguinalis",1690
"Digitaria violascens",1911
"Dimorphotheca jucunda",1989
"Dimorphotheca pluvialis",1895
"Dinebra decipiens",1911
"Dinebra divaricatissima",1900
"Dinebra panicea",1961
"Dinebra retroflexa",1831
"Dioscorea communis",1866
"Diospyros lotus",1972
"Diplachne fusca",1831
"Diplotaxis acris",1947
"Diplotaxis catholica",1986
"Diplotaxis erucoides",1859
"Diplotaxis muralis",1760
"Diplotaxis tenuifolia",1597
"Diplotaxis viminea",1813
"Diplotaxis virgata",1892
"Dipsacus fullonum",1538
"Dipsacus laciniatus",1835
"Dipsacus pilosus",1915
"Dipsacus sativus",1661
"Dipsacus strigosus",1823
"Disakisperma dubium",1880
"Disphyma crassifolium",1936
"Dittrichia graveolens",1895
"Dittrichia viscosa",1876
"Dolichandra unguis-cati",2000
"Doronicum austriacum subsp. giganteum",1800
"Doronicum caucasicum",1700
"Doronicum columnae",1867
"Doronicum macrophyllum",1965
"Doronicum oblongifolium",1800
"Doronicum pardalianches",1600
"Doronicum plantagineum",1694
"Doronicum × excelsum",1824
"Doronicum × willdenowii",1800
"Downingia elegans",1978
"Draba aizoides",1828
"Draba muralis",1866
"Draba nemorosa",1753
"Draba sibirica",1803
"Dracocephalum foetidum",1867
"Dracocephalum ibericum",1954
"Dracocephalum moldavica",1854
"Dracocephalum nutans",1939
"Dracocephalum officinalis",1765
"Dracocephalum parviflorum",1870
"Dracocephalum thymiflorum",1779
"Dracunculus vulgaris",1855
"Drosanthemum floribundum",1892
"Drosera capensis",2004
"Drosera linearis",2006
"Drymocallis rupestris",1807
"Dryopteris cristata",1859
"Dryopteris cycadina",2015
"Dryopteris erythrosora",2019
"Dryopteris oreades",2017
"Dysphania ambrosioides",1791
"Dysphania anthelmintica",1920
"Dysphania atriplicifolia",1958
"Dysphania botrys",1779
"Dysphania carinata",1899
"Dysphania chilensis",1834
"Dysphania cristata",1899
"Dysphania glomulifera",1882
"Dysphania multifida",1865
"Dysphania pseudomultiflora",1887
"Dysphania pumilio",1886
"Dysphania schraderiana",1803
"Ecballium elaterium",1865
"Echinacea purpurea",2005
"Echinaria capitata",1880
"Echinochloa colonum",1800
"Echinochloa colonum subsp. edulis",1918
"Echinochloa crus-galli",400
"Echinochloa elliptica",1908
"Echinochloa inundata",1908
"Echinochloa jubata",1887
"Echinochloa muricata",1915
"Echinochloa oryzoides",1911
"Echinochloa stagnina",1961
"Echinocystis lobata",1807
"Echinophora spinosa",1871
"Echinops bannaticus",1700
"Echinops exaltatus",1600
"Echinops ritro",1839
"Echinops sphaerocephalus",1652
"Echinopsis albispinosa",1959
"Echium creticum",1946
"Echium italicum",1900
"Echium pininana",1971
"Echium plantagineum",1690
"Echium rosulatum",1927
"Echium vulgare",1741
"Eclipta prostrata",1700
"Ehrharta calycina",1982
"Ehrharta erecta",1946
"Ehrharta longiflora",1947
"Elaeagnus angustifolia",1651
"Elaeagnus commutata",1882
"Elaeagnus macrophylla",1984
"Elaeagnus multiflora",2005
"Elaeagnus pungens",1945
"Elaeagnus umbellata",1956
"Elaeagnus × submacrophylla",1988
"Elaeosticta lutea",1908
"Elatine alsinastrum",1842
"Elatine ambigua",1905
"Eleocharis engelmannii",2006
"Eleocharis flavescens",1952
"Eleocharis mamillata",2014
"Eleocharis obtusa",1911
"Eleusine coracana",1857
"Eleusine coracana subsp. africana",1887
"Eleusine indica",1857
"Eleusine multiflora",1950
"Eleusine tristachya",1886
"Eleutherococcus senticosus",1865
"Ellisiophyllum pinnatum",2008
"Elodea callitrichoides",1948
"Elodea canadensis",1836
"Elodea densa",1860
"Elodea nuttallii",1939
"Elsholtzia ciliata",1800
"Elsholtzia stauntonii",1964
"Elymus canadensis",1895
"Elymus fibrosus",1906
"Elymus hystrix",1891
"Elymus repens",2008
"Elymus sibiricus",1807
"Elymus smithii",1945
"Elymus uralensis",1921
"Elymus violaceus",1925
"Emilia fosbergii",1813
"Enarthrocarpus lyratus",1837
"Enneapogon desvauxii",1912
"Enneapogon scaber",1912
"Enteropogon acicularis",1953
"Ephedra distachya",1842
"Ephedra saxatilis",2007
"Epilobium brachycarpum",1952
"Epilobium brunnescens",1869
"Epilobium ciliatum",1801
"Epilobium ciliatum subsp. ciliatum",1950
"Epilobium ciliatum subsp. watsonii",1926
"Epilobium dodonaei",1794
"Epilobium fleischeri",1934
"Epilobium hirsutum",1860
"Epilobium komarovianum",1961
"Epilobium latifolium",1953
"Epilobium montanum",1967
"Epilobium obscurum",1821
"Epilobium pedunculare",1931
"Epilobium pseudorubescens",1781
"Epilobium tetragonum",1879
"Epilobium × argillaceum",2002
"Epilobium × brunnatum",1981
"Epilobium × chateri",1995
"Epilobium × confusilobum",1996
"Epilobium × cornubiense",1995
"Epilobium × floridulum",1934
"Epilobium × fossicola",1934
"Epilobium × interjectum",1930
"Epilobium × kitcheneri",1996
"Epilobium × mentiens",1936
"Epilobium × novae-civitatis",1936
"Epilobium × nutantiflorum",1943
"Epilobium × obscurescens",1980
"Epilobium × vicinum",1934
"Epimedium alpinum",1700
"Epimedium pinnatum",1992
"Epimedium × rubrum",2006
"Equisetum arvense",2010
"Equisetum hyemale",2007
"Equisetum palustre",2017
"Equisetum ramosissimum",1880
"Equisetum scirpoides",2014
"Equisetum variegatum",2017
"Eragrostis alveiformis",1924
"Eragrostis atrovirens",1921
"Eragrostis bahiensis",1921
"Eragrostis barrelieri",1911
"Eragrostis bicolor",1911
"Eragrostis brownii",1893
"Eragrostis cilianensis",1824
"Eragrostis ciliaris",1897
"Eragrostis curvula",1824
"Eragrostis cylindriflora",1921
"Eragrostis dielsii",1904
"Eragrostis elongata",1911
"Eragrostis lacunaria",1904
"Eragrostis leptocarpa",1904
"Eragrostis leptostachya",1822
"Eragrostis mexicana",1822
"Eragrostis minor",1835
"Eragrostis multicaulis",1825
"Eragrostis neesii",1895
"Eragrostis nigra",1911
"Eragrostis obtusa",1911
"Eragrostis papposa",1887
"Eragrostis parviflora",1820
"Eragrostis pectinacea",1877
"Eragrostis pilosa",1877
"Eragrostis plana",1911
"Eragrostis planiculmis",1921
"Eragrostis procumbens",1921
"Eragrostis rotifer",1939
"Eragrostis tef",1913
"Eragrostis trichodes",1880
"Eragrostis virescens",1930
"Eranthis hyemalis",1699
"Erechtites hieraciifolius",1887
"Eremopyrum bonaepartis",1911
"Eremopyrum triticeum",1909
"Erepsia heteropetala",1957
"Erica arborea",1984
"Erica carnea",1900
"Erica ciliaris",1846
"Erica curvifolia",1964
"Erica lusitanica",1905
"Erica scoparia",1952
"Erica terminalis",1900
"Erica tetralix",1988
"Erica vagans",1900
"Erica × darleyensis",1936
"Erigeron annuus",1600
"Erigeron bonariensis",1661
"Erigeron canadensis",1650
"Erigeron floribundus",1804
"Erigeron glabellus var. glabellus",1658
"Erigeron glaucus",1942
"Erigeron karvinskianus",1860
"Erigeron pampeanus",1911
"Erigeron philadelphicus",1869
"Erigeron speciosus",1869
"Erigeron strigosus",1937
"Erigeron sumatrensis",1904
"Erigeron × huelsenii",1884
"Erigeron × pseudocrispus",1956
"Erinus alpinus",1867
"Eriobotrya japonica",1811
"Eriocapitella hupehensis",1974
"Eriocapitella japonica",1892
"Eriocapitella tomentosa",2001
"Eriocapitella × hybrida",1813
"Eriochloa australiensis",1895
"Eriochloa crebra",1895
"Eriochloa procera",1899
"Eriochloa pseudoacrotricha",1904
"Eriochloa punctata",1960
"Eriochloa villosa",1934
"Eriolarynx australis",1994
"Erodium alnifolium",1888
"Erodium botrys",1826
"Erodium brachycarpum",1903
"Erodium chium",1858
"Erodium ciconium",1889
"Erodium cicutarium",1700
"Erodium crinitum",1851
"Erodium cygnorum",1865
"Erodium gruinum",1897
"Erodium laciniatum",1937
"Erodium malacoides",1845
"Erodium manescavi",1964
"Erodium moschatum",1662
"Erodium neuradifolium",1986
"Erodium salzmannii",1949
"Erodium stephanianum",1932
"Erodium trifolium",1998
"Eruca sativa",1837
"Eruca vesicaria",1783
"Erucaria hispanica",1856
"Erucastrum abyssinicum",1947
"Erucastrum gallicum",1816
"Erucastrum nasturtiifolium",1554
"Erucastrum supinum",1876
"Eryngium alpinum",1957
"Eryngium amethystinum",1963
"Eryngium bourgatii",1950
"Eryngium campestre",1662
"Eryngium giganteum",1600
"Eryngium pandanifolium",1900
"Eryngium planum",1600
"Erysimum aureum",1965
"Erysimum canum",1973
"Erysimum capitatum",1942
"Erysimum cheiranthoides",1597
"Erysimum crepidifolium",1866
"Erysimum cuspidatum",1946
"Erysimum diffusum",1823
"Erysimum hungaricum",1974
"Erysimum marschallianum",1854
"Erysimum odoratum",1897
"Erysimum perofskianum",1877
"Erysimum repandum",1700
"Erysimum virgatum",1897
"Erysimum × cheiri",1548
"Erysimum × marshallii",1885
"Erythranthe cuprea",1931
"Erythranthe guttata",1824
"Erythranthe lutea",1850
"Erythranthe moschata",1855
"Erythranthe × burnetii",1931
"Erythranthe × maculosa",1963
"Erythranthe × robertsii",1848
"Erythronium albidum",1944
"Erythronium dens-canis",1819
"Erythronium grandiflorum",1970
"Erythronium sibiricum",1891
"Escallonia rubra",1905
"Escallonia rubra var. macrantha",1905
"Eschenbachia stricta var. stricta",1971
"Eschscholzia caespitosa",2006
"Eschscholzia californica",1864
"Eucalyptus camaldulensis",1971
"Eucalyptus globulus",1943
"Eucalyptus gunnii",1887
"Eucalyptus johnstonii",1996
"Eucalyptus pauciflora",1987
"Eucalyptus pulchella",1963
"Eucalyptus robusta",1997
"Eucalyptus sideroxylon",1997
"Eucalyptus urnigera",1996
"Eucalyptus viminalis",1996
"Euchiton sphaericus",2007
"Euclidium syriacum",1830
"Eudianthe coeli-rosa",1871
"Euonymus alatus",1986
"Euonymus europaeus",1865
"Euonymus fortunei",1962
"Euonymus hamiltonianus",1865
"Euonymus japonicus",1804
"Euonymus latifolius",1865
"Euonymus macropterus",1797
"Euonymus nanus",1797
"Euonymus oxyphyllus",1868
"Euonymus sachalinensis",1927
"Euonymus verrucosus",1839
"Eupatorium perfoliatum",1946
"Euphorbia agraria",1983
"Euphorbia amygdaloides",1738
"Euphorbia chamaesyce",1862
