"taxon_name","n","native_to_europe","wcvp_accepted_id","family","genus"
"Acer negundo",42,FALSE,2616024,"Sapindaceae","Acer"
"Acer oblongum",1,FALSE,2616086,"Sapindaceae","Acer"
"Acer obtusifolium",8,TRUE,2616102,"Sapindaceae","Acer"
"Acer opalus",29,TRUE,2616113,"Sapindaceae","Acer"
"Acer opalus subsp. obtusatum",14,TRUE,2616128,"Sapindaceae","Acer"
"Acer palmatum",8,FALSE,2616153,"Sapindaceae","Acer"
"Acer pensylvanicum",3,FALSE,2616210,"Sapindaceae","Acer"
"Acer pictum",1,FALSE,2616218,"Sapindaceae","Acer"
"Acer platanoides",149,TRUE,2616254,"Sapindaceae","Acer"
"Acer pseudoplatanus",227,TRUE,2616276,"Sapindaceae","Acer"
"Acer pseudosieboldianum",1,FALSE,2616285,"Sapindaceae","Acer"
"Acer rubrum",8,FALSE,2616329,"Sapindaceae","Acer"
"Acer saccharinum",29,FALSE,2616367,"Sapindaceae","Acer"
"Acer saccharum",8,FALSE,2616387,"Sapindaceae","Acer"
"Acer sempervirens",10,TRUE,2616440,"Sapindaceae","Acer"
"Acer spicatum",2,FALSE,2616481,"Sapindaceae","Acer"
"Acer tataricum",30,TRUE,2616524,"Sapindaceae","Acer"
"Acer tataricum subsp. ginnala",10,FALSE,2616532,"Sapindaceae","Acer"
"Acer tataricum subsp. semenovii",2,FALSE,2616538,"Sapindaceae","Acer"
"Acer undulatum",7,FALSE,2616614,"Sapindaceae","Acer"
"Acer velutinum",2,FALSE,2616618,"Sapindaceae","Acer"
"Achillea abrotanoides",2,TRUE,3109673,"Asteraceae","Achillea"
"Achillea ageratifolia",3,TRUE,3196452,"Asteraceae","Achillea"
"Achillea ageratifolia subsp. serbica",1,TRUE,3240080,"Asteraceae","Achillea"
"Achillea ageratum",1,TRUE,3109591,"Asteraceae","Achillea"
"Achillea alpina",3,FALSE,2906148,"Asteraceae","Achillea"
"Achillea arabica",14,TRUE,3109737,"Asteraceae","Achillea"
"Achillea asiatica",1,TRUE,3109741,"Asteraceae","Achillea"
"Achillea aspleniifolia",6,TRUE,2908979,"Asteraceae","Achillea"
"Achillea atrata",4,TRUE,3109793,"Asteraceae","Achillea"
"Achillea biserrata",4,FALSE,3109820,"Asteraceae","Achillea"
"Achillea chamaemelifolia",1,TRUE,3109832,"Asteraceae","Achillea"
"Achillea chrysocoma",1,TRUE,3109835,"Asteraceae","Achillea"
"Achillea clavennae",12,TRUE,3109848,"Asteraceae","Achillea"
"Achillea clusiana",3,TRUE,3109852,"Asteraceae","Achillea"
"Achillea clypeolata",4,TRUE,3109853,"Asteraceae","Achillea"
"Achillea coarctata",4,TRUE,3109861,"Asteraceae","Achillea"
"Achillea cretica",1,TRUE,3109870,"Asteraceae","Achillea"
"Achillea crithmifolia",4,TRUE,3109769,"Asteraceae","Achillea"
"Achillea cucullata",1,FALSE,3109770,"Asteraceae","Achillea"
"Achillea distans",7,TRUE,3109878,"Asteraceae","Achillea"
"Achillea distans subsp. stricta",7,TRUE,3240083,"Asteraceae","Achillea"
"Achillea distans subsp. tanacetifolia",3,TRUE,3109894,"Asteraceae","Achillea"
