"species","usageKey"
"Crataegus coccinea var. coccinea",3015572
"Crataegus coccinioides",3014860
"Crataegus crus-galli",3013404
"Crataegus dahurica",7699590
"Crataegus douglasii",3013580
"Crataegus flava",7855454
"Crataegus germanica",3015106
"Crataegus heldreichii",3015539
"Crataegus intricata",3014211
"Crataegus laciniata",8240558
"Crataegus laevigata",8252683
"Crataegus maximowiczii",3015120
"Crataegus meyeri",3014768
"Crataegus microphylla",3015544
"Crataegus mollis",3015562
"Crataegus monogyna",9220780
"Crataegus nigra",3015596
"Crataegus orientalis",3013974
"Crataegus orientalis subsp. szovitsii",3014557
"Crataegus pallasii",3013600
"Crataegus pentagyna",3014430
"Crataegus pinnatifida",3014527
"Crataegus pseudoheterophylla",3013625
"Crataegus punctata",3014805
"Crataegus rhipidophylla",9047268
"Crataegus rivularis",3015454
"Crataegus sanguinea",3013574
"Crataegus spathulata",3013616
"Crataegus submollis",3015560
"Crataegus succulenta",3016137
"Crataegus tanacetifolia",3014356
"Crataegus viridis",3014089
"Crataegus × macrocarpa",3013688
"Crataegus × media",3013800
"Crepis aculeata",5403333
"Crepis albida",7770027
"Crepis albida subsp. asturica",6082405
"Crepis albida subsp. scorzoneroides",5831058
"Crepis alpestris",5403589
"Crepis alpina",5403573
"Crepis aspera",5387243
"Crepis aurea",5403355
"Crepis bellidifolia",7455538
"Crepis biennis",5403531
"Crepis bursifolia",5403541
"Crepis canariensis",7861755
"Crepis capillaris",5403304
"Crepis conyzifolia",8026983
"Crepis dioscoridis",5403256
"Crepis foetida",5403470
"Crepis foetida subsp. foetida",5403470
"Crepis foetida subsp. rhoeadifolia",5403470
"Crepis fraasii",5403336
"Crepis froelichiana",7997372
"Crepis froelichiana subsp. dinarica",5703279
"Crepis hierosolymitana",5403576
"Crepis jacquinii",5403329
"Crepis jacquinii subsp. kerneri",5831046
"Crepis lacera",5403438
"Crepis lampsanoides",5403420
"Crepis leontodontoides",5403550
"Crepis micrantha",5403290
"Crepis mollis",5403596
"Crepis mollis subsp. succisifolia",5403596
"Crepis neglecta",7760759
"Crepis nicaeensis",5403323
"Crepis palaestina",5403674
"Crepis paludosa",5403296
"Crepis pannonica",5403267
"Crepis pantocsekii",5403687
"Crepis pontana",5403682
"Crepis praemorsa",5403302
"Crepis pulchra",5403272
"Crepis pygmaea",5403377
"Crepis pyrenaica",5403358
"Crepis rubra",5403562
"Crepis sancta",5403605
"Crepis sancta subsp. nemausensis",5831068
"Crepis senecioides",5403581
"Crepis setosa",4245384
"Crepis sibirica",5403660
"Crepis smyrnaea",5403462
"Crepis sonchifolia",5403408
"Crepis tectorum",5403508
"Crepis triasii",8388380
"Crepis vesicaria",5403709
"Crepis vesicaria subsp. andryaloides",6082382
"Crepis vesicaria subsp. taraxacifolia",5403709
"Crepis viscidula",5403619
"Crepis zacintha",5403284
"Cressa cretica",7324452
"Crithmum maritimum",3632234
"Crithopsis delileana",4932431
"Crocus angustifolius",2747704
"Crocus biflorus",2747340
"Crocus nudiflorus",2747305
"Crocus pallasii",2747827
"Crocus reticulatus",8918042
"Crocus sativus",2747430
"Crocus veluchensis",2747873
"Crocus vernus",2747567
"Crocus versicolor",2747502
"Crotalaria juncea",2942877
"Crucianella aegyptiaca",5336658
"Crucianella angustifolia",5336632
"Crucianella latifolia",5336640
"Crucianella macrostachya",5336579
"Crucianella maritima",5336649
"Cruciata glabra",5338929
"Cruciata laevipes",5338920
"Cruciata pedemontana",5338943
"Cruciata taurica",5338952
"Crupina crupinastrum",3149958
"Crupina vulgaris",3149965
"Cryptomeria japonica",5284237
"Cucumis ficifolius",2874572
"Cucumis melo",2874570
"Cucumis metuliferus",8350997
"Cucumis myriocarpus",7885624
"Cucumis prophetarum",2874576
"Cucumis sativus",2874569
"Cucurbita ficifolia",2874512
"Cucurbita maxima",2874515
"Cucurbita moschata",7393329
"Cucurbita pepo",2874508
"Cuminum cyminum",3034775
"Cunninghamia lanceolata",5284278
"Cupressus atlantica",2684095
"Cupressus sempervirens",2684030
"Curio citriformis",3107750
"Cuscuta australis",7154776
"Cuscuta campestris",3610757
"Cuscuta epilinum",2927530
"Cuscuta epithymum",2927518
"Cuscuta europaea",2927493
"Cuscuta lupuliformis",3678256
"Cuscuta palaestina",7324013
"Cutandia maritima",7541951
"Cycas revoluta",2683217
"Cyclamen cilicium",7127370
"Cyclamen graecum",7127308
"Cyclamen hederifolium",7127810
"Cyclamen persicum",3169317
"Cyclamen purpurascens",3169315
"Cydonia oblonga",5362215
"Cymbalaria muralis",8200663
"Cymbopogon citratus",2705275
"Cynanchica aristata",12254070
"Cynanchica aristata subsp. scabra",12224475
"Cynanchica breviflora",12183160
"Cynanchica cristata",12192917
"Cynanchica lutea",12171082
"Cynanchica neilreichii",12223594
"Cynanchica pestalozzae",12222409
"Cynanchica pyrenaica subsp. cynanchica",12223934
"Cynanchica pyrenaica subsp. neglecta",12206526
"Cynanchum acutum",3571089
"Cynara baetica",3112345
"Cynara cardunculus",3112364
"Cynara cardunculus subsp. cardunculus",3112364
"Cynara cardunculus subsp. flavescens",4241131
"Cynara humilis",3112374
"Cynara syriaca",3112376
"Cynara tournefortii",3112358
"Cynodon dactylon",6109637
"Cynoglossum amabile",2925816
"Cynoglossum cheirifolium",2498
"Cynoglossum clandestinum",4064572
"Cynoglossum creticum",4064467
"Cynoglossum dioscoridis",7792248
"Cynoglossum germanicum",7295106
"Cynoglossum magellense",4063449
"Cynoglossum montanum",4063280
"Cynoglossum officinale",2925815
"Cynoglottis barrelieri",7131800
"Cynosurus cristatus",2704395
"Cynosurus echinatus",2704394
"Cynosurus elegans",4133858
"Cyperus alternifolius subsp. flabelliformis",2714156
"Cyperus capitatus",2714938
"Cyperus conglomeratus",2714301
"Cyperus difformis",2714796
"Cyperus eragrostis",2715482
"Cyperus esculentus",2716226
"Cyperus flavescens",2730906
"Cyperus laevigatus",2713559
"Cyperus longus",8243603
"Cyperus papyrus",2716311
"Cyperus polystachyos",2730407
"Cyperus rotundus",2714818
"Cyperus serotinus",2715620
"Cypripedium calceolus",2820517
"Cypripedium guttatum",2820441
"Cyrtomium falcatum",2650829
"Cystopteris alpina",4015233
"Cystopteris fragilis",2650818
"Cystopteris montana",9350627
"Cytinus hypocistis",7279691
"Cytisophyllum sessilifolium",2940408
"Cytisus aeolicus",5354605
"Cytisus arboreus",5354706
"Cytisus balansae",5354626
"Cytisus cantabricus",5928691
"Cytisus commutatus",5354577
"Cytisus decumbens",5354676
"Cytisus decumbens subsp. pindicola",10746464
"Cytisus filipes",5354621
"Cytisus fontanesii",5354480
"Cytisus grandiflorus",5354590
"Cytisus malacitanus",7111590
"Cytisus multiflorus",7681436
"Cytisus nigricans",5356805
"Cytisus oromediterraneus",5611875
"Cytisus osyrioides",5611871
"Cytisus procumbens",5349071
"Cytisus scoparius",5354656
"Cytisus striatus",5354707
"Cytisus supranubius",5354587
"Cytisus villosus",5354639
"Daboecia cantabrica",8400045
"Dactylis glomerata",2705308
"Dactylis glomerata subsp. hispanica",2705308
"Dactylis glomerata subsp. juncinella",2705308
"Dactylis glomerata subsp. lobata",2705308
"Dactylorhiza incarnata",8248593
"Dactylorhiza maculata",8179794
"Dactylorhiza maculata subsp. fuchsii",8179794
"Dactylorhiza majalis",2810155
"Dactylorhiza majalis subsp. lapponica",2810731
"Dactylorhiza majalis subsp. praetermissa",2810155
"Dactylorhiza sambucina",8231647
"Dactylorhiza viridis",2810284
"Dahlia atropurpurea",5387095
"Dahlia coccinea",5387098
"Dahlia merckii",5387121
"Dahlia pinnata",5387142
"Damasonium alisma",5328689
"Danthonia alpina",4128981
"Danthonia decumbens",2703250
"Daphne alpina",7911301
"Daphne blagayana",5523781
"Daphne cneorum",7150059
"Daphne gnidioides",5523428
"Daphne gnidium",7311306
"Daphne laureola",5420853
"Daphne mezereum",5420852
"Daphne odora",7670260
"Daphne oleoides",7311536
"Daphne pontica",5524180
"Daphne sericea",7311478
"Daphne striata",5523875
"Dasiphora fruticosa",5370380
"Dasypyrum villosum",2704854
"Datisca cannabina",2874725
"Datura ferox",7894250
"Datura innoxia",2928755
"Datura metel",2928747
"Datura quercifolia",2928738
"Datura stramonium",2928751
"Daucus carota",3034742
"Daucus carota subsp. hispanicus",3034742
"Daucus carota subsp. maximus",3034742
"Daucus carota subsp. sativus",3034742
"Daucus crinitus",3641952
"Daucus decipiens",9244277
"Daucus glaber",6720
"Daucus guttatus",3641441
"Daucus guttatus subsp. zahariadii",7581539
"Daucus muricatus",3640822
"Daucus pumilus",8241209
"Davallia canariensis",4204692
"Daveaua anthemoides",3119130
"Delairea odorata",3134183
"Delonix regia",2956176
"Delosperma cooperi",9376410
"Delphinium ajacis",3033833
"Delphinium albocoeruleum",7277135
"Delphinium austriacum",7277049
"Delphinium barbatum",3923290
"Delphinium bicolor",3033698
"Delphinium brachycentrum",3033802
"Delphinium bulleyanum",3922804
"Delphinium californicum",3033742
"Delphinium camptocarpum",3922570
"Delphinium carolinianum",3033700
"Delphinium carolinianum subsp. virescens",3922376
"Delphinium cashmerianum",3922357
"Delphinium caucasicum",3922352
"Delphinium consolida",3033836
"Delphinium consolida subsp. paniculatum",3033836
"Delphinium corymbosum",3921959
"Delphinium cuneatum",3921900
"Delphinium dasystachyon",7500137
"Delphinium delavayi",7276715
"Delphinium denudatum",7276704
"Delphinium dictyocarpum",8281876
"Delphinium dubium",3921378
"Delphinium elatum",3033757
"Delphinium exaltatum",3033752
"Delphinium fissum",7276601
"Delphinium flexuosum",7276599
"Delphinium foetidum",3920905
"Delphinium formosum",3033762
"Delphinium grandiflorum",3033699
"Delphinium halteratum",7498290
"Delphinium hispanicum",8429167
"Delphinium laxiflorum",3930452
"Delphinium maackianum",7278132
"Delphinium middendorffii",3929847
"Delphinium montanum",8292009
"Delphinium nudicaule",3033701
"Delphinium oxysepalum",7277912
"Delphinium peregrinum",7277819
"Delphinium retropilosum",7277731
"Delphinium scopulorum",3033695
"Delphinium speciosum",7677893
"Delphinium szowitsianum",3927039
"Delphinium tatsienense",7277564
"Delphinium triste",3927551
"Delphinium trolliifolium",3033769
"Delphinium verdunense",3926266
"Dendrocalamus asper",2703315
"Dennstaedtia punctilobula",2650777
"Deschampsia cespitosa",8059811
"Deschampsia media",4143080
"Deschampsia setacea",4142609
"Descurainia bourgaeana",3044270
"Descurainia gilva",3044317
"Descurainia gonzalezii",3044272
"Descurainia lemsii",3044254
"Descurainia millefolia",3044107
"Descurainia sophia",3044318
"Descurainia tanacetifolia",3044233
"Deutzia gracilis",2985964
"Deutzia parviflora",2985967
"Deutzia scabra",2985965
"Dianthus algetanus subsp. turolensis",7267984
"Dianthus anticarius",7267947
"Dianthus arenarius",3085422
"Dianthus arenarius subsp. pseudoserotinus",6710533
"Dianthus armeria",3085413
"Dianthus barbatus",3085421
"Dianthus benearnensis",3814532
"Dianthus bessarabicus",3814483
"Dianthus borbasii",3814359
"Dianthus broteri",7267842
"Dianthus campestris",7592185
"Dianthus capitatus",3813966
"Dianthus capitatus subsp. andrzejowskianus",6710496
"Dianthus carthusianorum",8400876
"Dianthus carthusianorum subsp. latifolius",8400876
"Dianthus caryophyllus",3085420
"Dianthus chinensis",3085418
"Dianthus collinus",7267745
"Dianthus corymbosus",7946383
"Dianthus costae",7267722
"Dianthus crinitus",7267710
"Dianthus cruentus",8179294
"Dianthus deltoides",3085424
"Dianthus elegans",7267669
"Dianthus ferrugineus",3085411
"Dianthus floribundus",8270957
"Dianthus furcatus",8001283
"Dianthus giganteiformis subsp. pontederae",7523856
"Dianthus giganteus",7267630
"Dianthus graniticus",3812204
"Dianthus gratianopolitanus",6364219
"Dianthus haematocalyx",7267590
"Dianthus henteri",3812029
"Dianthus hyssopifolius",7267549
"Dianthus hyssopifolius subsp. gallicus",3811809
"Dianthus integer subsp. minutiflorus",3811711
"Dianthus langeanus",7267498
"Dianthus legionensis",7365126
"Dianthus leptopetalus",3811201
"Dianthus libanotis",3811162
"Dianthus lusitanus",7267453
"Dianthus marschallii",3810813
"Dianthus masmenaeus",3810796
"Dianthus membranaceus",3810727
"Dianthus monadelphus subsp. pallens",3810590
"Dianthus monspessulanus",7267387
"Dianthus myrtinervius",7267361
"Dianthus orientalis",7428622
"Dianthus pancicii",3809939
"Dianthus pavonius",3809829
"Dianthus pelviformis",3809802
"Dianthus petraeus",7267284
"Dianthus petraeus subsp. noeanus",6710549
"Dianthus plumarius",3085412
"Dianthus praecox subsp. lumnitzeri",9498332
"Dianthus pseudarmeria",4931699
"Dianthus pungens",8330248
"Dianthus pungens subsp. brachyanthus",3809220
"Dianthus pungens subsp. hispanicus",8330248
"Dianthus pyrenaicus",8302118
"Dianthus recticaulis",3808991
"Dianthus rigidus",3808897
"Dianthus rupicola",7267156
"Dianthus scaber",7746364
"Dianthus seguieri",3085423
"Dianthus serotinus",3808372
"Dianthus serrulatus",7540866
"Dianthus spiculifolius",3808113
"Dianthus sternbergii",6363548
"Dianthus strictus",7824828
"Dianthus superbus",6363496
"Dianthus superbus subsp. alpestris",6363496
"Dianthus superbus subsp. stenocalyx",6363496
"Dianthus sylvestris",3085419
"Dianthus toletanus",3807396
"Dianthus trifasciculatus",8352580
"Dianthus viscidus",7266884
"Dianthus zonatus",3817515
"Dianthus × lorberi",3811032
"Dichanthium annulatum",2702446
"Dichasianthus runcinatus",10943491
"Dichodon cerastoides",5927687
"Dichodon viscidum",5384523
"Dichondra micrantha",2928666
"Dichoropetalum carvifolia",3639144
"Dichoropetalum depauperatum",3639126
"Dictamnus albus",5421338
"Dictyosperma album",5293187
"Diervilla lonicera",2888711
"Digitalis atlantica",8071460
"Digitalis canariensis",5559284
"Digitalis ferruginea",5414991
"Digitalis grandiflora",5414992
"Digitalis laevigata",5559156
"Digitalis lanata",5414989
"Digitalis lutea",5414990
"Digitalis lutea subsp. australis",8201180
"Digitalis obscura",5559052
"Digitalis parviflora",5559046
"Digitalis purpurea",5414995
"Digitalis sceptrum",7674580
"Digitalis thapsi",5558992
"Digitalis viridiflora",5558970
"Digitaria ciliaris",5289998
"Digitaria didactyla",5289960
"Digitaria ischaemum",5290003
"Digitaria nodosa",5675428
"Digitaria nuda",5289967
"Digitaria sanguinalis",5289972
"Digitaria violascens",5289995
"Dimocarpus longan",3190008
"Dimorphotheca barberae",5402361
"Dimorphotheca ecklonis",5387293
"Dimorphotheca jucunda",5402340
"Dimorphotheca pluvialis",5402363
"Dimorphotheca sinuata",5402350
"Dioscorea communis",2755063
"Diospyros dussaudii",4070153
"Diospyros kaki",3032984
"Diospyros lotus",3032980
"Dipcadi serotinum",2768176
"Diplotaxis acris",5376378
"Diplotaxis catholica",5376351
"Diplotaxis erucoides",5376309
"Diplotaxis harra",5376405
"Diplotaxis muralis",5376337
"Diplotaxis siifolia",5376324
"Diplotaxis tenuifolia",5376426
"Diplotaxis viminea",5376357
"Diplotaxis virgata",5376326
"Dipsacus chinensis",4103127
"Dipsacus comosus",4103118
"Dipsacus fullonum",8435025
"Dipsacus laciniatus",2888814
"Dipsacus pilosus",4102733
"Dipsacus sativus",2888816
"Dipsacus strigosus",7443846
"Diptychocarpus strictus",3052559
"Disphyma crassifolium",3084850
"Dittrichia graveolens",3101193
"Dittrichia viscosa",3101184
"Dodartia orientalis",3742239
"Dolichorrhiza caucasica",3095730
"Dombeya wallichii",8248677
"Doronicum austriacum",7389416
"Doronicum carpaticum",3142985
"Doronicum cataractarum",3142968
"Doronicum caucasicum",3142941
"Doronicum clusii",3143013
"Doronicum columnae",3143034
"Doronicum corsicum",3143021
"Doronicum glaciale",3142953
"Doronicum glaciale subsp. calcareum",3142953
"Doronicum grandiflorum",3142996
"Doronicum hungaricum",3143026
"Doronicum oblongifolium",3142977
"Doronicum pardalianches",3142951
"Doronicum plantagineum",8340385
"Doronicum plantagineum subsp. atlanticum",4231123
"Doronicum reticulatum",3107934
"Doryanthes palmeri",8004821
"Dorycnopsis gerardi",3972689
"Draba aizoides",3049799
"Draba alpina",3049444
"Draba cacuminum",3050152
"Draba cinerea",3049489
"Draba corymbosa",3050163
"Draba crassifolia",3050115
"Draba cuspidata",3049608
"Draba daurica",8345531
"Draba dubia",3049974
"Draba fladnizensis",3049571
"Draba gilliesii",3050297
"Draba hispanica",3049529
"Draba hoppeana",3050118
"Draba hyperborea",3050460
"Draba incana",3049770
"Draba lactea",3049757
"Draba lasiocarpa",3049553
"Draba muralis",3112
"Draba nemorosa",3049685
"Draba nivalis",3049612
"Draba norvegica",3049482
"Draba rigida",3049617
"Draba sauteri",3050144
"Draba sibirica",3049513
"Draba siliquosa",3049820
"Draba stellata",3049790
"Draba verna",7473187
"Dracaena draco",5304469
"Dracaena fragrans",5304583
"Dracaena reflexa var. angustifolia",5304437
"Dracocephalum austriacum",3903269
"Dracocephalum bullatum",3903180
"Dracocephalum canescens",3903137
"Dracocephalum ibericum",3902735
"Dracocephalum moldavica",2927222
"Dracocephalum nutans",7309179
"Dracocephalum officinalis",11986329
"Dracocephalum ruyschiana",3901967
"Drimia maritima",2776790
"Drimia maura",2776721
"Drimia numidica",2776588
"Drimia pancration",2776553
"Drosera anglica",3190932
"Drosera intermedia",3191157
"Drosera rotundifolia",3191030
"Drusa glandulosa",7485085
"Dryas octopetala",4889932
"Drymocallis rupestris",3001836
"Dryopteris aemula",7319771
"Dryopteris affinis",8915858
"Dryopteris affinis subsp. borreri",8915858
"Dryopteris carthusiana",5275149
"Dryopteris crispifolia",5654567
"Dryopteris cristata",5275110
"Dryopteris dilatata",5275103
"Dryopteris expansa",5275102
"Dryopteris filix-mas",5275132
"Dryopteris guanchica",5657104
"Dryopteris intermedia subsp. azorica",5656270
"Dryopteris oligodonta",5653459
"Dryopteris villarii",7319100
"Dryopteris × ambroseae",5656941
"Drypis spinosa",3817384
"Duhaldea nervosa",3126670
"Duranta erecta",2925655
"Dysphania ambrosioides",5568446
"Dysphania botrys",5568428
"Ecballium elaterium",2874680
"Echeveria gibbiflora",7334611
"Echeveria secunda",7334137
"Echinacea purpurea",3150935
"Echinaria capitata",5674620
"Echinochloa crus-galli",2702808
"Echinochloa muricata",2702816
"Echinocystis lobata",5331404
"Echinophora chrysantha",5538781
"Echinophora sibthorpiana",5538714
"Echinophora spinosa",5538709
"Echinophora tenuifolia",5538701
"Echinophora tournefortii",5538695
"Echinophora trichophylla",5538690
"Echinops acantholepis",5392847
"Echinops albidus",5698218
"Echinops armatus",5392860
"Echinops bannaticus",5392859
"Echinops bovei",5698163
"Echinops exaltatus",5392683
"Echinops gaillardotii",5392857
"Echinops melitenensis",5392793
"Echinops microcephalus",5392800
"Echinops orientalis",5392712
"Echinops ossicus",5392718
"Echinops polyceras",5392854
"Echinops pungens",5392914
"Echinops ritro",5392950
"Echinops ritro subsp. ruthenicus",5392950
"Echinops sphaerocephalus",5392883
"Echinops spinosissimus",5392840
"Echinops spinosissimus subsp. bithynicus",5697598
"Echinops spinosissimus subsp. spinosus",5697585
"Echinops strigosus",5392672
"Echinospartum boissieri",2959219
"Echinospartum horridum",2959222
"Echinospartum lusitanicum",2959225
"Echium aculeatum",4064880
"Echium albicans",7917245
"Echium angustifolium",8134399
"Echium angustifolium subsp. sericeum",8326885
"Echium arenarium",4059853
"Echium boissieri",4059703
"Echium bonnetii",7294582
"Echium callithyrsum",4059592
"Echium candicans",7551118
"Echium creticum",2925893
"Echium decaisnei",7294540
"Echium decaisnei subsp. purpuriense",4059307
"Echium gaditanum",4059034
"Echium giganteum",7473657
"Echium glomeratum",8304153
"Echium handiense",4058916
"Echium hierrense",4058905
"Echium hypertropicum",4058783
"Echium italicum",2925889
"Echium italicum subsp. biebersteinii",2925889
"Echium lusitanicum",7131370
"Echium nervosum",4058202
"Echium onosmifolium",7294406
"Echium parviflorum",7477753
"Echium pininana",4068166
"Echium pitardii",7295608
"Echium plantagineum",2925895
"Echium rauwolfii",4067965
"Echium rosulatum",4067922
"Echium sabulicola",7295578
"Echium strictum",7764452
"Echium tuberculatum",7295533
"Echium virescens",4067418
"Echium vulgare",2925892
"Echium vulgare subsp. pustulatum",2925892
"Echium wildpretii",7295503
"Edraianthus graminifolius",11106105
"Elaeagnus angustifolia",3039269
"Elaeagnus commutata",3039274
"Elaeagnus difficilis",7293108
"Elaeagnus glabra",7293101
"Elaeagnus macrophylla",7293094
"Elaeagnus multiflora",3039272
"Elaeagnus oldhamii",5834430
"Elaeagnus pungens",3039270
"Elaeagnus umbellata",3039267
"Elaeagnus × submacrophylla",4048240
"Elaeis guineensis",2731882
"Elatine hexandra",5646074
"Eleocharis acicularis",2717570
"Eleocharis mamillata",2717400
"Eleocharis mitracarpa",2717636
"Eleocharis multicaulis",2717898
"Eleocharis ovata",2717641
"Eleocharis palustris",2717002
"Eleocharis parvula",2716818
"Eleocharis quinqueflora",2717493
"Eleocharis uniglumis",2717910
"Eleusine coracana",2705957
"Eleusine indica",2705953
"Elodea canadensis",7707728
"Elsholtzia ciliata",2927075
"Elwendia cylindrica",7651784
"Elwendia persica",8187284
"Elymus canadensis",5290282
"Elymus caninus",5290319
"Elymus hystrix",8112114
"Elymus lazicus",4108716
"Elymus lazicus subsp. divaricatus",5672446
"Elymus macrourus",5290298
"Elymus nodosus",4107769
"Elymus pungens",5289896
"Elymus pungens subsp. campestris",5671967
"Elymus repens",5290299
"Elymus sibiricus",5290323
"Elymus smithii",5290148
"Elymus uralensis",4104785
"Elymus violaceus",4104489
"Emilia coccinea",5401509
"Emilia sonchifolia",7376217
"Empetrum nigrum",8925249
"Empetrum nigrum subsp. nigrum",8925249
"Endressia pyrenaica",3634488
"Ensete ventricosum",2763050
"Enterolobium cyclocarpum",2961150
"Eokochia saxicola",8337357
"Ephedra distachya",2653321
"Ephedra foeminea",2653458
"Ephedra fragilis",2653414
"Ephedra intermedia",2653256
"Ephedra procera",2653444
"Ephedra strobilacea",2653268
"Epilobium alpestre",3663919
"Epilobium alsinifolium",3189158
"Epilobium anagallidifolium",3189068
"Epilobium angustifolium",8406741
"Epilobium brachycarpum",3189073
"Epilobium brunnescens",7322764
"Epilobium canum",3189132
"Epilobium ciliatum",9188840
"Epilobium ciliatum subsp. glandulosum",9918996
"Epilobium clavatum",3189160
"Epilobium collinum",3666788
"Epilobium davuricum",3189103
"Epilobium dodonaei",12041591
"Epilobium duriaei",8346334
"Epilobium fleischeri",3665986
"Epilobium hirsutum",3189172
"Epilobium hirtigerum",3665259
"Epilobium hornemannii",3189153
"Epilobium hornemannii subsp. hornemannii",6428001
"Epilobium lactiflorum",3189174
"Epilobium lanceolatum",6427899
"Epilobium latifolium",8406741
"Epilobium laxum",3664703
"Epilobium leptophyllum",3189116
"Epilobium minutiflorum",3664211
"Epilobium montanum",3664083
"Epilobium nummulariifolium",3663811
"Epilobium nutans",7737682
"Epilobium obscurum",3189152
"Epilobium pallidiflorum",7322230
"Epilobium palustre",3189080
"Epilobium parviflorum",3189157
"Epilobium pedunculare",3667399
"Epilobium roseum",3666800
"Epilobium roseum subsp. subsessile",3666800
"Epilobium tetragonum",7322563
"Epilobium tetragonum subsp. lamyi",8203655
"Epilobium tetragonum subsp. tournefortii",7322563
"Epilobium × persicinum",3667299
"Epimedium alpinum",7695021
"Epipactis atrorubens",5318958
"Epipactis helleborine",8998684
"Epipactis palustris",5319226
"Epipactis purpurata",5318906
"Epipremnum aureum",2868323
"Epitrachys italica",12190698
"Equisetum arvense",7924597
"Equisetum fluviatile",2687937
"Equisetum hyemale",2687927
"Equisetum palustre",2687932
"Equisetum pratense",2687942
"Equisetum ramosissimum",2687940
"Equisetum sylvaticum",2687929
"Equisetum telmateia",2687943
"Eragrostis barrelieri",2705431
"Eragrostis cilianensis",2705369
"Eragrostis minor",2705449
"Eragrostis multicaulis",2705401
"Eragrostis pectinacea",2705420
"Eragrostis pilosa",2705400
"Eragrostis tef",2705325
"Eranthis cilicica",3925417
"Eranthis hyemalis",3033227
"Erechtites hieraciifolius",3132457
"Erechtites valerianifolius",8199967
"Eremogone capillaris",6364640
"Eremogone graminea",3814732
"Eremogone gypsophiloides",3814709
"Eremogone rigida",3814341
"Eremopyrum distans",4137924
"Eremopyrum orientale",2704658
"Eremopyrum triticeum",2704661
"Eremurus inderiensis",2778849
"Eremurus spectabilis",2778786
"Eremurus tauricus",2778899
"Erica arborea",5333410
"Erica australis",5682851
"Erica azorica",5682827
"Erica carnea",5682465
"Erica ciliaris",5682320
"Erica cinerea",5333411
"Erica erigena",7327590
"Erica gracilis",5684929
"Erica lusitanica",5333409
"Erica manipuliflora",7328591
"Erica multiflora",7373031
"Erica scoparia",7946667
"Erica spiculifolia",7327980
"Erica subdivaricata",5682580
"Erica terminalis",8347912
"Erica tetralix",5333412
"Erica umbellata",7531424
"Erica vagans",5333408
"Erigeron acris",3147080
"Erigeron acris subsp. angulosus",10202845
"Erigeron alpinus",9074530
"Erigeron annuus",3117449
"Erigeron atticus",3146734
"Erigeron bonariensis",3146717
"Erigeron borealis",3147301
"Erigeron canadensis",3146791
"Erigeron floribundus",3147018
"Erigeron glabratus",3147132
"Erigeron humilis",3146971
"Erigeron karvinskianus",3147168
"Erigeron philadelphicus",3119285
"Erigeron politus",4213411
"Erigeron schleicheri",3146936
"Erigeron speciosus",3147146
"Erigeron strigosus var. septentrionalis",3146632
"Erigeron sumatrensis",3146683
"Erigeron uniflorus",3147144
"Erinacea anthyllis",2977757
"Erinus alpinus",3741446
"Eriobotrya japonica",3024146
"Eriocapitella hupehensis",9677963
"Eriophorum angustifolium",2730127
"Eriophorum gracile",2730137
"Eriophorum latifolium",2730210
"Eriophorum scheuchzeri",2730240
"Eriophorum vaginatum",2730185
"Erodium acaule",3828975
"Erodium botrys",2891628
"Erodium carvifolium",3828334
"Erodium cazorlanum",3828302
"Erodium cheilanthifolium",3828266
"Erodium chium",3828217
"Erodium ciconium",9429152
"Erodium cicutarium",9485490
"Erodium corsicum",3828040
"Erodium daucoides",7268560
"Erodium foetidum",9368145
"Erodium glandulosum",7657631
"Erodium gruinum",9537188
"Erodium hartvigianum",3827439
"Erodium laciniatum",2891619
"Erodium malacoides",9297163
"Erodium manescavi",3826854
"Erodium moschatum",9419993
"Erodium saxatile",8182781
"Erodium trichomanefolium",3828912
"Erophaca baetica",2954221
"Erophaca baetica subsp. orientalis",2954222
"Eruca vesicaria",5375920
"Erucaria hispanica",5377678
"Erucastrum abyssinicum",5375552
"Erucastrum canariense",5375538
"Erucastrum cardaminoides",5375536
"Erucastrum gallicum",5375547
"Erucastrum leucanthum",5375528
"Erucastrum nasturtiifolium",5375555
"Erucastrum supinum",5375515
"Erucastrum virgatum",5375501
"Eryngium alpinum",3633778
"Eryngium amethystinum",3034402
"Eryngium billardierei",3633188
"Eryngium bourgatii",7318448
"Eryngium caeruleum",3632852
"Eryngium campestre",3034426
"Eryngium creticum",8041189
"Eryngium dichotomum",3632027
"Eryngium dilatatum",7562337
"Eryngium duriaei",8352418
"Eryngium falcatum",3631463
"Eryngium giganteum",3631129
"Eryngium glomeratum",8270172
"Eryngium kotschyi",3630137
"Eryngium maritimum",3034391
"Eryngium palmatum",7677477
"Eryngium planum",3034393
"Eryngium tricuspidatum",6027306
"Eryngium triquetrum",3641370
"Eryngium wiegandii",3640956
"Erysimum aureum",3048661
"Erysimum bicolor",3048397
"Erysimum canum",3048652
"Erysimum cheiranthoides",3048266
"Erysimum commatum",3048113
"Erysimum crepidifolium",3048522
"Erysimum cuspidatum",3048411
"Erysimum diffusum",3048288
"Erysimum duriaei",3048180
"Erysimum duriaei subsp. gorbeanum",3048195
"Erysimum graecum",3048280
"Erysimum grandiflorum",7536179
"Erysimum hungaricum",3048474
"Erysimum jugicola",3048148
"Erysimum kotschyanum",3048646
"Erysimum linifolium",3048198
"Erysimum marschallianum",3048613
