"microherbivore_family"
"Eriophyidae"
"Cimbicidae"
"Pteromalidae"
"Geometridae"
"Noctuidae"
"Nepticulidae"
"Curculionidae"
"Acanaloniidae"
"Tephritidae"
"Chrysomelidae"
"Phylloxeridae"
"Cerambycidae"
"Eriococcidae"
"Delphacidae"
"Nitidulidae"
"Erebidae"
"Pamphilidae"
"Diaspididae"
"Coccidae"
"Acanthosomatidae"
"Aleyrodidae"
"Aphididae"
"Crambidae"
"Apionidae"
"Cecidomyiidae"
"Cicadellidae"
"Miridae"
"Sphingidae"
"Drepanidae"
"Carabidae"
"Psyllidae"
"Anthomyiidae"
NA
"Tortricidae"
"Buprestidae"
"Anthocoridae"
"Gelechiidae"
"Lygaeidae"
"Cossidae"
"Hypocreales incertae sedis"
"Pyralidae"
"Gracillariidae"
"Cladosporiaceae"
"Ascomycota incertae sedis"
"Glyphipterigidae"
"Ceratostomataceae"
"Pentatomidae"
"Saturniidae"
"Acarophenacidae"
"Pterophoridae"
"Adelidae"
"Adelgidae"
"Cydnidae"
"Zygaenidae"
"Pucciniales"
"Tenuipalpidae"
"Aeolothripidae"
"Issidae"
"Platypezidae"
"Nymphalidae"
"Tenthredinidae"
"Depressariidae"
"Aphalaridae"
"Tingidae"
"Rhizobiales"
"Agromyzidae"
"Thripidae"
"Achilidae"
"Albiginaceae"
"Phacidiaceae"
"Sporocadaceae"
"Incurvariidae"
"Cosmopterigidae"
"Nanophyidae"
"Didymellaceae"
"Phlaeothripidae"
"Pleosporaceae"
"Leptosphaeriaceae"
"Alucitidae"
"Alydidae"
"Botryobasidiaceae"
"Scathophagidae"
"Sclerotiniaceae"
"Lypusidae"
"Tetranychidae"
"Anthomyzidae"
"Kateretidae"
"Scraptiidae"
"Elachistidae"
"Cynipidae"
"Anguinidae"
"Valsaceae"
"Cerococcidae"
"Floromycetaceae"
"Pieridae"
"Choreutidae"
"Xylariales incertae sedis"
"Ustilaginaceae"
"Anthracoideaceae"
"Heliozelidae"
"Pseudococcidae"
"Cixiidae"
"Autostichidae"
"Leptolegniaceae"
"Chloropidae"
"Aphelenchoididae"
"Aphelinidae"
"Aphrophoridae"
"Gnomoniaceae"
"Limacodidae"
"Attelabidae"
"Diptilomiopidae"
"Berytidae"
"Argidae"
"Eulophidae"
"Sphaeroceridae"
"Psychidae"
"Anthribidae"
"Papilionidae"
"Exobasidiaceae"
"Ortheziidae"
"Nolidae"
"Coreidae"
"Yponomeutidae"
"Lycaenidae"
"Armadillidiidae"
"Apiosporaceae"
"Erysiphaceae"
"Phragmidiaceae"
"Pleosporales incertae sedis"
"Mycosphaerellaceae"
"Asterinaceae"
"Asterolecaniidae"
"Dothideomycetes incertae sedis"
"Atheliaceae"
"Venturiaceae"
"Coleophoridae"
"Rhynchitidae"
"Saccotheciaceae"
"Cimeliidae"
"Eurytomidae"
"Triozidae"
"Phyllachoraceae"
"Peronosporaceae"
"Batrachedridae"
"Microbotryaceae"
"Bedelliidae"
"Sesiidae"
"Ceratocystidaceae"
"Xylariaceae"
"Blasticotomidae"
"Blastobasidae"
"Agaonidae"
"Drepanopezizaceae"
"Phytoptidae"
"Hesperiidae"
"Diaporthales incertae sedis"
"Botryosphaeriaceae"
"Brachodidae"
"Rhopalidae"
"Sydowiellaceae"
"Saproleginiaceae"
"Godroniaceae"
"Hyaloscyphaceae"
"Bucculatricidae"
"Protomycetaceae"
"Magnaporthaceae"
"Parasitaphelenchidae"
"Byturidae"
"Pucciniaceae"
"Cephidae"
"Coryneliaceae"
"Lauxaniidae"
"Reduviidae"
"Dictyophharidae"
"Nectriaceae"
"Calophyidae"
"Camarosporiaceae"
"Liviidae"
"Peleopodidae"
"Carposinidae"
"Membracidae"
"Ceratobasidiaceae"
"Cercopidae"
"Putoidae"
"Phakopsoraceae"
"Notodontidae"
"Psilidae"
"Syrphidae"
"Chalcididae"
"Chlamydomonadales"
"Lasiocampidae"
"Coleosporiaceae"
"Drosophilidae"
"Nemonychidae"
"Ephydridae"
"Rutstroemiaceae"
"Actinomycetales"
"Clavicipitaceae"
"Rhytismataceae"
"Glomerellaceae"
"Schizoparmaceae"
"Eriophyiidae"
"Plataspididae"
"Tischeriidae"
"Corynesporaceae"
"Dryophthoridae"
"Chironomidae"
"Crinopterygidae"
"Helotiaceae"
"Cenangiaceae"
"Cryphonectriacese"
"Helotiales incertae sedis"
"Diatrypaceae"
"Dermateaceae"
"Sciaridae"
"Convolvulaceae"
"Cylindrosporidae"
"Coccinellidae"
"Flatidae"
"Pezizomycotina incertae sedis"
"Dactylopiidae"
"Lonchaeidae"
"Lachnaceae"
"Chimabachidae"
"Dothioraceae"
"Bionectriaceae"
"Tarsonemidae"
"Pucciniales incertae sedis"
"Diaporthaceae"
"Raveneliaceae"
"Stenocephalidae"
"Dictyopharidae"
"Hemiphacidiaceae"
"Didymosphaeriaceae"
"Diprionidae"
"Doassansiaceae"
"Doassansiopsidaceae"
"Dothideaceae"
"Polystomellaceae"
"Tympanidaceae"
"Eriocraniidae"
"Plutellidae"
"Pythiaceae"
"Elsinoaceae"
"Endromidae"
"Entorrhizaceae"
"Entylomataceae"
"Epermeniidae"
"Tetracampidae"
"Phyllostictaceae"
"Tremellaceae"
"Pseudoperisporiaceae"
"Caliscelidae"
"Eremotheciaceae"
"Scythrididae"
"Kermesidae"
"Scutelleridae"
"Euteliidae"
"Urocystidaceae"
"Coniothyriaceae"
"Cucurbitariaceae"
"Opmyzidae"
"Phyllachorales incertae sedis"
"Plectosphaerellaceae"
"Gjaerumiaceae"
"Heteroderidae"
"Platygloeaceae"
"Chrysomelidaebn"
"Graphiolaceae"
"Melanconiellaceae"
"Erirhinidae"
"Margarodidae"
"Gymnosporangiaceae"
"Chaetomellaceae"
"Riodinidae"
"Ploettnerulaceae"
"Helicobasidiaceae"
"Heliodinidae"
"Massarinaceae"
"Hemicycliophoridae"
"Phaeosphaeriaceae"
"Hepialidae"
"Melanommataceae"
"Heterogynidae"
"Heterosphaeriaceae"
"Nabidae"
"Adiheterothripidae"
"Oecophoridae"
"Homotomidae"
"Pucciniastraceae"
"Hypxylaceae"
"Cystofilobasidiaceae"
"Georgefischeriaceae"
"Juglanconidaceae"
"Lentitheciaceae"
"Planistromellaceae"
"Tineidae"
"Kinnaridae"
"Douglasiidae"
"Kriegeriacese"
"Corticiaceae"
"Prodoxidae"
"Laurobasidiaceae"
"Lecanodiaspididae"
"Lembosinacee"
"Brahmaeidae"
"Melanconiaceae"
"Lestidae"
"Geotrupidae"
"Lyonetiidae"
"Leucospidae"
"Tranzscheliaceae"
"Delonicicolaceae"
"Plasmodiophoraceae"
"Loranthaceae"
"Macrodiplodiopsidaceae"
"Derbidae"
"Marthamycetaceae"
"Matsucoccidae"
"Meconematidae"
"Meenoplidae"
"Megalodontesidae"
"Phoridae"
"Torymidae"
"Melampsoraceae"
"Melanotaeniaceae"
"Ulidiidae"
"Meliolaceae"
"Meloidogynidae"
"Pleurotremataceae"
"Metacapnodiaceae"
"Micrococcidae"
"Microdochiacee"
"Micropezidae"
"Microsphaeropidaceae"
"Microsphaeropsidaceae"
"Microstromataceae"
"Milesinaceae"
"Mollisiaceae"
"Momphidae"
"Amphisphaeriaceae"
"Mordellidae"
"Neocelosporiaceae"
"Pratylenchidae"
"Neocamarosporiaceae"
"Tilletiaceae"
"Meenopliidae"
"Peronosporales incertae sedis"
"Sphaerophragmiaceae"
"Ochropsoraceae"
"Ochsenheimeriidae"
"Lecithoceridae"
"Phalacridae"
"Olpidiaceae"
"Tropiduchidae"
"Oniscidae"
"Tenebrionidae"
"Opomyzidae"
"Opostegidae"
"Pallopteridae"
"Longidoridae"
"Stachybotryaceae"
"Piesmatidae"
"Castniidae"
"Penthaleidae"
"Ophiostomataceae"
"Pseudodidymellaceae"
"Pezizaceae"
"Phaeochoraceae"
"Phhaeosphaeriaceae"
"Herpotrichiellaceae"
"Phoenicococcidae"
"Ypsolophidae"
"Lyonetiidae"
"Montagnulaceae"
"Hyponectriaceae"
"Physodermataceae"
"Pileolariaceae"
"Dothideales incertae sedis"
"Platygastridae"
"Platystomatidae"
"Xyelidae"
"Periscelidae"
"Porcellionidae"
"Pseudomassariaceae"
"Pseudomonadales"
"Discinellaceae"
"Pseudopyrenochaetaceae"
"Albuginaceae"
"Pyriculariaceae"
"Pyrrhocoridae"
"Rhamphosporaceae"
"Rhizinaceae"
"Rhizoecidae"
"Ricaniidae"
"Roeslerstammiidae"
"Fauriellidae"
"Pilobolaceae"
"Englerulaceae"
"Bostrichidae"
"Schizothyriaceae"
"Schreckensteiniidae"
"Typhulaceae"
"Fungi incertae sedis"
"Microthyriaceae"
"Siricidae"
"Siterroptidae"
"Somabrachyidae"
"Stictidaceae"
"Sporidesmiaceae"
"Stathmopodidae"
"Steingeliidae"
"Teeatosphaeriaceae"
"Micropeltidaceae"
"Heleomyzidae"
"Synchytriacee"
"Taphrinaceae"
"Cryptophagidae"
"Teratosphaeriaceae"
"Tettigometridae"
"Thaumastocoridae"
"Glomosporiaceae"
"Dolichopodidae"
"Thyreocoridae"
"Thyrididae"
"Tubakiacee"
"Ulopidae"
"Ustilentylomataceae"
"Santalaceae"
"Xanthomonadales"
"Xiphinematidae"
"Xiphydryiidae"
"Zaghouaniaceae"
"Bartaliniaceae"
"Zythiaceae"
